"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0010",6.71085878433622,-0.0439318379723334,0.579471532830471,-0.0758136258355008,0.939567375476451,0.960127807653911
"Q0017",1.7394287987532,-0.320195012447347,1.1043469407111,-0.289940598052612,0.771861682214449,0.845256817733978
"Q0032",0.461714973602508,0.625326249832171,2.80321066303029,0.223075011121779,0.82347712657277,0.883210513645712
"Q0045",5555.81786230987,0.0840027409649405,0.122109671715363,0.687928644675667,0.491497717094049,0.617086917734976
"Q0050",6495.11618520824,0.560206731103865,0.154085998105384,3.63567577840995,0.000277252863129609,0.0011219752709316
"Q0055",6170.85926818519,0.537380665753552,0.110399466563418,4.86760201368237,1.12960525256071e-06,7.36171455258192e-06
"Q0060",222.251796535723,0.409081012288816,0.182504582594823,2.24148350946899,0.0249947725295105,0.0560611846886844
"Q0065",1178.02972572595,0.474783958826414,0.145521819374253,3.26263072347499,0.00110383250740465,0.00382744487476687
"Q0070",49.0913076673391,0.476839546351313,0.256674548726121,1.85775936382424,0.0632031941598566,0.122171510807513
"Q0075",406.45093861012,0.36137242740912,0.189078549000651,1.91122911255193,0.0559751441833263,0.110503242364346
"Q0080",0.483742912003697,-1.87407655841928,2.17106856127459,-0.863204687243524,0.38802493704512,0.517605808951885
"Q0085",689.07859299856,-0.230712511979903,0.347368674713891,-0.664171897969579,0.506580297411353,0.629372661331346
"Q0105",1381.4583664976,-0.37069470318201,0.199401333111484,-1.85903823910123,0.063021718408632,0.121857007503852
"Q0110",58.9057207228668,0.560175494524566,0.346886317799602,1.61486765484991,0.106339358135719,0.186251692838357
"Q0115",19.9886039326158,0.384909840732454,0.377626453737105,1.01928727959408,0.308066601173941,0.434236766171564
"Q0120",342.401854600385,0.678429603330685,0.378938050547697,1.79034436460028,0.0733985683291311,0.138175785099881
"Q0130",3188.74947417235,-0.0317953800977636,0.160513711308243,-0.198085134526018,0.842978455318047,0.896277338815634
"Q0140",27.988818580447,-0.949496266685315,0.350221640208614,-2.71112963242288,0.0067054405255937,0.0181656988529335
