"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBL113C",916.21951180075,0.980944236665216,0.128413456331199,7.6389520591612,2.18996824307311e-14,1.42150838657875e-10
"YBR054W",10204.1884733482,0.891660835680607,0.170538492836917,5.22850191090458,1.70889068193186e-07,0.000184873490273661
"YFL020C",87.0053662739391,-1.06121054645666,0.28469189346342,-3.72757556791133,0.000193330602457774,0.0432727220880488
"YIR042C",57.9154609401213,-0.838715156505064,0.196723353008941,-4.26342446728704,2.01317572193213e-05,0.0087116824073743
"YJL052W",24739.3481991509,0.713276636811733,0.165582712712424,4.30767575387244,1.64978993692035e-05,0.00823752806196154
"YNL160W",16925.0095331201,1.03894202882899,0.176531851400387,5.88529503648948,3.97344529668106e-09,1.28958167103784e-05
"YNL339C",2005.81196772915,1.47094400202772,0.335657278849767,4.3822794699056,1.17444022089813e-05,0.00635274289487482
"YPR002W",437.495322554811,0.618631476287923,0.160346543803,3.85809049335026,0.000114276339725798,0.0323207566730134
"YPR007C",144.223761610649,0.82934675861734,0.217461371854662,3.81376587273451,0.000136865135355633,0.0348407520469994
