"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0010",6.71085878433622,-0.676969448065617,0.611576533067874,-1.10692515402726,0.268326289456084,0.397649759100328
"Q0017",1.7394287987532,1.20026147167329,1.2930433374856,0.928245354875163,0.353280312649199,0.486763428020792
"Q0032",0.461714973602508,0.012152814099652,2.71397518022899,0.00447786486338708,0.996427192700035,0.997656780474461
"Q0045",5555.81786230987,-0.0508841979984208,0.122323333508649,-0.415981125913505,0.677423814341283,0.771295909294732
"Q0050",6495.11618520824,0.349253746349112,0.154255567187912,2.26412409429383,0.0235664834498749,0.0569296777346996
"Q0055",6170.85926818519,0.141415024155935,0.110573931621845,1.2789182954945,0.200925829239641,0.319424334458612
"Q0060",222.251796535723,0.230219982533396,0.185661397576595,1.23999918959146,0.214975693898826,0.336814824670219
"Q0065",1178.02972572595,0.272676388840285,0.146257024525715,1.86436439360451,0.0622705495724714,0.126549197643993
"Q0070",49.0913076673391,0.520051453517469,0.2630450877836,1.97704301532253,0.0480367681558324,0.102635504311885
"Q0075",406.45093861012,0.397534946634644,0.19070166550189,2.0845908481628,0.0371064559296908,0.0831118031192626
"Q0080",0.483742912003697,-1.24306406092364,2.25331057033995,-0.551661221176497,0.581180483277138,0.694740795018766
"Q0085",689.07859299856,-0.264260953335489,0.347750586968427,-0.759915189904428,0.447305281303552,0.577228346111602
"Q0105",1381.4583664976,-0.593475673963681,0.200047939945277,-2.9666672604878,0.00301046565035587,0.0102308547311309
"Q0110",58.9057207228668,0.603418932030369,0.356821242181163,1.69109587854639,0.090818492249268,0.170820873135323
"Q0115",19.9886039326158,-0.190985789148911,0.394046037040286,-0.484678873015503,0.627904155215734,0.731990997037595
"Q0120",342.401854600385,-0.32509166925344,0.380471238338334,-0.854444795021147,0.392858584947113,0.525241004097159
"Q0130",3188.74947417235,-0.0489392926848027,0.160887143577089,-0.30418398634415,0.760987724206527,0.835092361424271
"Q0140",27.988818580447,-1.05435179655145,0.355387153100503,-2.96676958453048,0.00300946400478517,0.0102308547311309
"Q0142",0.452490766016647,1.15499621543582,3.13822755177484,0.368040939154525,0.71284270827337,0.798733302158199
"Q0144",3.11874914363795,-0.573981244316884,0.770606028612039,-0.744843957879098,0.456366057522517,0.585776563056883
"Q0160",397.054906810821,0.261981016283875,0.188075174619621,1.39295904849604,0.163632174629941,0.271993968123673
"Q0182",53.2179964099595,0.318616807819116,0.333213081917142,0.956195375001347,0.338973536155717,0.471858722536299
"Q0250",4048.6858872062,0.686078553374846,0.165315542494338,4.15011524641334,3.3230791705821e-05,0.000193975781441083
"Q0255",99.3187237650369,0.788959064582645,0.277920404543297,2.83879503514372,0.00452842343577958,0.0144088218243359
"Q0275",3737.60043251386,0.331026508516608,0.12131820859963,2.72858058437914,0.00636075468400461,0.0190969744004967
"Q0297",206.895728192512,-1.121416049045,0.228999326674635,-4.89702771326624,9.72971207527333e-07,8.13860323203598e-06
"YAL001C",1829.28876416939,-0.0771450568628813,0.0741265578541287,-1.04072088460782,0.298005107536874,0.430621360868622
"YAL002W",3019.7400713454,0.0387917361616259,0.0516724303534225,0.750724049484476,0.452818746368322,0.582490384993416
"YAL003W",26902.1462967822,-0.184417014115042,0.138809581928293,-1.32856112346992,0.183992805271323,0.298201572788054
"YAL005C",168628.607329662,-1.7134895248582,0.14685410274316,-11.6679717682454,1.85800112631201e-31,1.91433100172877e-29
"YAL007C",2948.49995759113,0.0825683035001271,0.0561331339650004,1.47093699688333,0.141308156108311,0.241949681165668
"YAL008W",876.422365709864,-0.245922106617895,0.101682992448903,-2.41851759763535,0.015583891755888,0.0407718828647597
"YAL009W",688.784714312647,0.0542090267531149,0.0744758716055407,0.72787368021997,0.466690916081837,0.595289426338881
"YAL010C",684.785462855844,0.0919899348939976,0.0998465824474503,0.92131280449596,0.35688713788698,0.490059517483312
"YAL011W",587.88122788196,0.144721308359498,0.0942658343474055,1.53524667087913,0.124723248220431,0.219219768263964
"YAL012W",14310.3019043594,-0.696921963779579,0.118327027373375,-5.88979525007819,3.8667439432342e-09,4.85474563549965e-08
"YAL013W",440.067308192196,-0.0599621270408871,0.144922851482135,-0.41375205102336,0.679055702925559,0.772747294475772
"YAL014C",1147.0081850412,-0.132266830999174,0.0973046782130175,-1.35930598022859,0.174049649821924,0.2850738474593
"YAL015C",882.742959998565,0.151726309481338,0.0895598087421377,1.69413391578572,0.0902398388316738,0.170126864320765
"YAL016C-A",419.711967770893,0.0126805691796576,0.12887163129772,0.0983969012572116,0.921617135179665,0.950910123880066
"YAL016C-B",7.89307967330109,-0.669196257015682,0.56909882085647,-1.17588761826737,0.2396397872993,0.364884320750588
"YAL016W",4511.75966902663,-0.390833510944152,0.0788385551466759,-4.95739058404891,7.14462540705274e-07,6.12625673938961e-06
"YAL017W",3330.02651571683,-0.247542680240734,0.101128849131764,-2.44779489103256,0.0143733452067849,0.0379875340949678
"YAL018C",13.3726005259522,1.17592203462118,0.452001454727432,2.60158904871288,0.00927929711818025,0.0262448442675852
"YAL019W",3816.85093403325,0.150619629571,0.0754261021504602,1.99691652195607,0.0458342520742645,0.0986766601041629
"YAL019W-A",52.9466604412636,0.688725612754404,0.359108430860484,1.91787647843327,0.0551266753956705,0.114688221151698
"YAL020C",846.858602164867,0.195775485964653,0.102578548551762,1.90854217308274,0.0563211778042299,0.116649893148454
"YAL021C",3992.4667936422,-0.371136754588498,0.134128711343346,-2.76701946116856,0.00565713779574421,0.0173291559377894
"YAL022C",2255.83954309203,-0.300317222771944,0.0791753483742225,-3.79306474728085,0.00014879933755318,0.000736732646878483
"YAL023C",14399.9937471477,0.175325619712325,0.104755121346017,1.67367110514059,0.0941952555556881,0.17535056728054
"YAL024C",1663.58278333719,0.441349748079184,0.129738630543012,3.40183757321891,0.000669344065320884,0.00278864719383688
"YAL025C",1339.63006923807,0.223167742287709,0.154419468531247,1.44520470385216,0.14840039554903,0.251702891954208
"YAL026C",6034.44170974504,-0.287744558763472,0.0518781901100532,-5.54654196981539,2.91374710893378e-08,3.19478589258263e-07
"YAL026C-A",269.328354764482,-0.224461742645645,0.122367926325172,-1.8343184311972,0.0666067397837004,0.133687182416821
"YAL027W",288.563677656021,-0.0270478578443469,0.171006693147076,-0.158168416373528,0.874324090524524,0.91817467587683
"YAL028W",265.115704359462,-0.0573220017377939,0.158760101845006,-0.361060499909204,0.718054220755305,0.802633019962577
"YAL029C",6722.42221059295,-0.218025445014553,0.058958651877736,-3.69793809849448,0.000217357874819407,0.00103284770530949
"YAL030W",957.896366414416,-0.102281358378311,0.0684864655267471,-1.49345359833711,0.135318491850186,0.234164844201429
"YAL031C",1001.07848301379,-0.0684028392161596,0.0611838872866463,-1.11798779465732,0.263572206219041,0.392576225463009
"YAL031W-A",106.139183937454,-0.434756164359487,0.177594628561956,-2.4480254154073,0.0143641522906382,0.0379787016368769
"YAL032C",762.602361886598,-0.0828851265658938,0.101712799516875,-0.81489376911843,0.415133120085159,0.547132808623912
"YAL033W",644.435639487224,0.237088853284152,0.101219337374892,2.34232765628601,0.0191638824816665,0.047972526489972
"YAL034C",529.361442207553,0.218191139111882,0.12983667175461,1.68050471537242,0.0928591576390914,0.173690997873885
"YAL034C-B",28.7431518434819,0.340679184328631,0.315144996663841,1.08102361749384,0.279686608089782,0.409899700408845
"YAL034W-A",183.807121323284,0.387127393310782,0.14512335556917,2.66757471113094,0.00764009005109257,0.0223384582690364
"YAL035W",11091.5084427528,-0.175371044064792,0.0975073939997976,-1.79854098105787,0.0720913204771631,0.142232450218014
"YAL036C",3342.51919873845,0.084204702979853,0.142068065623373,0.592706760737366,0.553377416110016,0.671020513351413
"YAL037C-A",4.37115624158839,1.71115818105193,0.899019195568016,1.90336111785776,0.0569934409032865,0.117741701114969
"YAL037C-B",12354.5931339037,-0.122096097994256,0.379613829291604,-0.321632376307522,0.74773121334007,0.824867998944663
"YAL037W",202.829952730641,0.769510592100186,0.122788834332887,6.26694272554135,3.68205504158201e-10,5.46915772881209e-09
"YAL038W",214047.989199748,-0.520476153982166,0.135064461168551,-3.85353889157155,0.000116422760364769,0.000595978026441415
"YAL039C",1307.78424094794,-0.0179356936216701,0.172328260345767,-0.10407865538527,0.917106929387868,0.948431199920211
"YAL040C",1416.8541923808,-0.583483910441585,0.196515438929297,-2.96915048314099,0.00298624315962911,0.010169834390951
"YAL041W",2738.3570057583,-0.113906688081387,0.0664232344666848,-1.71486211106624,0.0863705107047863,0.163927188592037
"YAL042C-A",536.196066994764,0.148896071178408,0.108755756340659,1.36908680688142,0.170972141803323,0.281313098211754
"YAL042W",6770.33035805876,-0.0168515053908787,0.0788121893498351,-0.213818516271353,0.830688584965496,0.886258975182616
"YAL043C",2645.92321461888,-0.213111979508761,0.0730752905718562,-2.9163343428543,0.00354170744314645,0.0117112700017644
"YAL044C",3663.90695487554,-0.961870164714005,0.110996073869452,-8.66580349360201,4.48339682306721e-18,1.53977400944599e-16
"YAL044W-A",663.675045822366,0.0591201627542435,0.0728807111893689,0.811190804664752,0.417256105422481,0.549335332704661
"YAL045C",73.881568090242,0.275168913688393,0.204684888664314,1.34435382838483,0.17883399676474,0.291222145760142
"YAL046C",472.696736312207,0.242706116443995,0.107684109728955,2.25387122626443,0.0242042703131671,0.0582104181558977
"YAL047C",550.886138364702,0.231614132820563,0.0828722394160406,2.794833764028,0.0051926408745096,0.0161605769822115
"YAL047W-A",8.6055109401371,0.216862231543203,0.574953460799337,0.377182235309458,0.706038181190373,0.793887375840706
"YAL048C",1110.43960673482,-0.12146398674475,0.0749432232474774,-1.62074676643747,0.10507195941179,0.19179473806016
"YAL049C",1960.08294862969,-0.424887127039983,0.0589859354578215,-7.20319384175577,5.88182607517097e-13,1.25176829685032e-11
"YAL051W",1672.3913154236,-0.0325749112744579,0.0736821703870502,-0.44210032228072,0.658416611200264,0.75575282463323
"YAL053W",6344.50714018566,-0.254574991851624,0.162678280234618,-1.56489847006294,0.117606717491978,0.209261294747925
"YAL054C",716.210792535038,-0.0116775587632477,0.0894586944548698,-0.130535761050468,0.896142562950921,0.934285476407714
"YAL055W",188.96652752046,0.395733316208858,0.139841808216468,2.82986412472787,0.00465677762643303,0.0147809993022869
"YAL056C-A",87.3693896278913,0.16499256853139,0.196197771028574,0.840950270058677,0.40037579453481,0.532767380550522
"YAL056W",2098.79669460956,-0.0885491660540632,0.0730025035276791,-1.21296067634844,0.225144855412828,0.348370740520779
"YAL058W",1365.98854020375,0.11905641033563,0.109447080610052,1.08779886747107,0.276683909616197,0.4067848827449
"YAL059C-A",4.06559259536091,2.07098268430883,1.48546592199576,1.39416371230275,0.163268173179535,0.271458430355626
"YAL059W",1283.00281277148,0.292625920705136,0.144515231590474,2.02487943647612,0.0428797456240297,0.0934001439079116
"YAL060W",2831.96520706412,-1.07543111161057,0.129807931908797,-8.28478734540024,1.18320309901829e-16,3.63989161882829e-15
"YAL061W",609.441778010066,-0.357640548466985,0.251031428667595,-1.42468435273321,0.154248464189527,0.259788993527301
"YAL062W",673.154859560972,0.365061586475519,0.112772062652008,3.23716333540893,0.00120724292331257,0.00466997247629434
"YAL063C",962.708232580893,0.315600824241157,0.0797711633288433,3.95632721238056,7.61108932399575e-05,0.000406613833761781
"YAL063C-A",24.4868525383502,0.813785099089999,0.286068901608842,2.84471711015527,0.00444508812371042,0.0141853820113099
"YAL064C-A",41.5592157120272,-0.021644930158214,0.309937401254773,-0.0698364575252456,0.944323829094776,0.964253334065349
"YAL064W",30.4592104183743,0.714113242138162,0.282553619834847,2.52735478156522,0.0114925341024844,0.0314759657633865
"YAL064W-B",34.9292612041235,-0.63313589550714,0.241249862910408,-2.624398985637,0.00868020362828767,0.0247771335757323
"YAL065C",48.3815710822244,-0.450512943274582,0.191567674143473,-2.35171693391848,0.0186869895417118,0.0470874414267279
"YAL066W",1.9564779654943,1.86174494447467,1.32477587868718,1.40532823281748,0.159923696694548,0.267198124902011
"YAL067C",159.528004310239,-0.297230026015002,0.235696726717912,-1.26106980845235,0.20728369711495,0.327988696443766
"YAL067W-A",4.7378739579221,0.923279685878488,0.658352084710814,1.40241021076746,0.160792785994266,0.26844289451872
"YAL068W-A",0.348636987257188,1.48715806502487,2.73827551780629,0.543100230548122,0.58706079391522,0.699579881274774
"YAR002C-A",4857.7181873562,0.208519399258192,0.0819731136052888,2.5437535563458,0.0109668429337193,0.0302275063621111
"YAR002W",2008.98639143576,-0.20856803113449,0.0629960237216522,-3.31081263249324,0.000930254736589029,0.00371129901364437
"YAR003W",966.839274735554,0.384907855900262,0.0788861882441869,4.87928070131625,1.06473437662895e-06,8.80406476267324e-06
"YAR007C",2188.67771055795,-0.238049874146815,0.0663127318428478,-3.58980647503651,0.000330923552509306,0.00149897053687223
"YAR008W",437.314314293004,0.738199416713489,0.123681100364329,5.96857090160877,2.39340637466276e-09,3.12265064526031e-08
"YAR014C",2904.07700900304,0.0299777127664627,0.0619466470714312,0.483927931271166,0.628437016861834,0.732349134012597
"YAR015W",3269.81018586997,-0.751847934464071,0.168942740735301,-4.45031216607326,8.57455608406655e-06,5.78559704175426e-05
"YAR018C",750.291178338604,0.49788310774086,0.113705680829719,4.37870037897642,1.19389138013471e-05,7.74180714131307e-05
