"Reaction","WT_mean","mip6_mean","log2FC","p_value","FDR"
"13BGH",0,0,0,NA,1
"13GS",0.767391660507459,0.767391660507459,0,NA,1
"2DDA7Ptm",0,0,0,NA,1
"2DHPtm",0,0,0,NA,1
"2HBO",1.88321418772503,1.88321418772503,0,NA,1
"2HBt2",0,0,0,NA,1
"2HBt2_rev",1.88321418772503,1.88321418772503,0,NA,1
"2MBACt",0,0,0,NA,1
"2MBALDt",0,0,0,NA,1
"2MBALDtm",0,0,0,NA,1
"2MBTOHt",0,0,0,NA,1
"2MBTOHtm",0,0,0,NA,1
"2MPPALt",0,0,0,NA,1
"2MPPALtm",0,0,0,NA,1
"2OBUTtm",0,0,0,NA,1
"2OBUTtm_rev",0,0,0,NA,1
"2OXOADPtim",0,0,0,NA,1
"2PHETOHt",0,0,0,NA,1
"2PHETOHt_rev",0.00129156141978261,0,-10.3360171206456,1.44019401345064e-28,1.26874234518271e-27
"2PHETOHtm",0,0,0,NA,1
"34HPPt2m",0,0,0,NA,1
"3C3HMPt",0,0,0,NA,1
"3C3HMPtm",0,0,0,NA,1
"3HAO",0,0,0,NA,1
"3MBALDt",0,0,0,NA,1
"3MBALDtm",0,0,0,NA,1
"3MOBDC",0.207866196174494,0.205363597330765,-0.0174746045180189,7.80055736177764e-22,1.56859033905311e-21
"3MOBtm",0,0,0,NA,1
"3MOBtm_rev",0.205363597330765,0.205363597330765,0,1,1
"3MOPDC",0,0,0,NA,1
"3MOPt",0,0,0,NA,1
"3MOPt_rev",0,0,0,NA,1
"3MOPtm",0.0148538667207702,0.0219089048611437,0.560647558522678,6.14736039153488e-22,1.56859033905311e-21
"3MOPtm_rev",0,0,0,NA,1
"4ABZt",0,0,0,NA,1
"4HGLSDm",0,0,0,NA,1
"4MOPDC",0,0,0,NA,1
"6PGLter",0.00196108196639616,0.00196108196639616,0,NA,1
"AABTN",0,0,0,NA,1
"AASAD1",0,0,0,NA,1
"AASAD2",0,0,0,NA,1
"AATA",0,0,0,NA,1
"ABTA",0,0,0,NA,1
"ABUTt2r",0,0,0,NA,1
"ABUTt2r_rev",0,0,0,NA,1
"ACACT1m",0.00892630412284011,0.00892630412290583,1.06196792027577e-11,0.0358813643503965,0.0520631561162616
"ACACT1r",0,0,0,NA,1
"ACALDCD",1.82957858065353,2.79844229663,0.613112345967531,5.13287290981527e-17,1.02105536378046e-16
"ACALDt",0,0,0,NA,1
"ACALDt_rev",11.3258653485056,10.1030661006164,-0.16482807596368,7.79941358239863e-22,1.56859033905311e-21
"ACALDtm",0,0,0,NA,1
"ACALDtm_rev",0,0,0,NA,1
"ACCOAC",0.268871099934155,0.268871099937919,2.01992058196636e-11,0.267452958644769,0.3447999815281
"ACESt",0,0,0,NA,1
"ACGKm",0,0,0,NA,1
"ACHBSm",0,0,0,NA,1
"ACHLE1",0,0,0,NA,1
"ACHLE2",0,0,0,NA,1
"ACHLE3",0,0,0,NA,1
"ACLSm",0.205363597330765,0.205363597330765,-1.60171325190746e-16,0.99601228720965,1
"ACOAHim",0,0,0,NA,1
"ACONT",0.00020167809891813,0.00020524521459627,0.0251704437885993,1.44019401345064e-28,1.26874234518271e-27
"ACONT3m",0,0,0,NA,1
"ACONTm",0,0,0,NA,1
"ACOTAim",0,0,0,NA,1
"ACPSm",0,0,0,NA,1
"ACRNtm",0,0,0,NA,1
"ACS",0.306740268938966,0.306740268943261,2.02001668476147e-11,0.120198181782686,0.159975997336669
"ACSm",0,0,0,NA,1
"ACt2r",0,0,0,NA,1
"ACt2r_rev",1.20546177491878,1.34706883573863,0.160237545208761,0.345740432063763,0.424996544397316
"ACtm",0,0,0,NA,1
"ACtm_rev",0,0,0,NA,1
"ACtr",1.1536886900436,1.29373336245394,0.165286192739228,0.400830192113686,0.483085247824312
"ACtr_rev",0.0819740510538011,0.0789365004620108,-0.054474057780406,0.000154221109680421,0.0002654037701477
"ADA",1.17352827794917,1.33211543408006,0.182866351583732,0.00906977613198644,0.0147184963545394
"ADCL",0,0,0,NA,1
"ADCS",0,0,0,NA,1
"ADD",1.7741935483871e-06,0.0317188505810149,13.4810299103576,0.560523969614746,0.654239333619735
"ADEt2",1.30222431947573,1.39737554863813,0.101741739109452,0.945222580711451,0.999235299609249
"ADHAPR_SC",0,0,0,NA,1
"ADK1",0.896030068477781,0.896029372662574,-1.12032894152474e-06,1.15946241712757e-07,2.03318054188247e-07
"ADK1_rev",0,0,0,NA,1
"ADK1m",0,0,0,NA,1
"ADK1m_rev",1.65143884230694e-13,1.38670437140278e-13,-3.81931049467794e-08,0.5668731849898,0.658377054794002
"ADK3",0,0,0,NA,1
"ADK3_rev",0.573955465304791,0.573955465312629,1.97007526556769e-11,0.884485738805885,0.954109980636086
"ADK3m",0,0,0,NA,1
"ADK4",0,0,0,NA,1
"ADMDC",0,0,0,NA,1
"ADNCYC",0,0,0,NA,1
"ADNK1",0.0461868614845404,0.0461868614845349,-1.71383317954108e-13,0.000411717642011241,0.000695596016183376
"ADNUC",0,0,0,NA,1
"ADPT",0,0,0,NA,1
"ADSK",0,0,0,NA,1
"ADSL1r",0,0,0,NA,1
"ADSL2r",0,0,0,NA,1
"ADSS",0,0,0,NA,1
"AGAT_SC",0.0168030084717074,0.0168030084719786,2.32844258854412e-11,0.0155435242134357,0.0234738937100866
"AGPRim",0,0,0,NA,1
"AGTi",0.000199999999999985,0,-7.65105169117882,1.40262050286534e-25,9.79187898226747e-25
"AHCi",0.0126455975074787,0.0126455975074787,3.20342650381491e-15,1.94635531437886e-08,3.44570079579033e-08
"AHSERL2",0,0,0,NA,1
"AICART",0,0,0,NA,1
"AIRCr",0,0,0,NA,1
"AKGDam",3.81255866648788,3.85679273581246,0.0166420757395963,6.72953588218685e-22,1.56859033905311e-21
"AKGDbm",3.81255866648788,3.85679273581246,0.0166420757395963,6.72953588218685e-22,1.56859033905311e-21
"AKGMAL",0,0,0,NA,1
"AKGMAL_rev",0,0,0,NA,1
"AKGt2r",0,0,0,NA,1
"AKGt2r_rev",0,0,0,NA,1
"ALATA_L",0,0,0,NA,1
"ALATA_L_rev",0.131956810881781,0.190137404696888,0.526973211495803,5.74270975157993e-22,1.56859033905311e-21
"ALATA_Lm",0.0881471489132805,0.0285765028999591,-1.6250504143096,7.80055736177764e-22,1.56859033905311e-21
"ALAt2r",0.0903527319927621,0.0915427841909764,0.0188777388230491,7.80055736177764e-22,1.56859033905311e-21
"ALAt2r_rev",0,0,0,NA,1
"ALAtmi",0.0881471489132805,0.0285765028999591,-1.6250504143096,7.80055736177764e-22,1.56859033905311e-21
"ALCD22xi",0,0,0,NA,1
"ALCD22xim",0,0,0,NA,1
"ALCD22yi",0,0,0,NA,1
"ALCD23xi",0.207866196174494,0.205363597330765,-0.0174746045180189,7.80055736177764e-22,1.56859033905311e-21
"ALCD23xim",0,0,0,NA,1
"ALCD23yi",0,0,0,NA,1
"ALCD24xi",0,0,0,NA,1
"ALCD24xim",0,0,0,NA,1
"ALCD24yi",0,0,0,NA,1
"ALCD25xi",0.00129156141978261,0,-10.3360171206456,1.44019401345064e-28,1.26874234518271e-27
"ALCD25xim",0,0,0,NA,1
"ALCD25yi",0,0,0,NA,1
"ALCD26xi",0.091378051530241,0.0916794431630104,0.00475054962402528,1.05615801181627e-08,1.90419978656205e-08
"ALCD26xim",0,0,0,NA,1
"ALCD2ir",0.00036503824493239,0.00037152896307427,0.0253582012831713,1.44019401345064e-28,1.26874234518271e-27
"ALCD2irm",0,0,0,NA,1
"ALCD2x_copy1",0,0,0,NA,1
"ALCD2x_copy2",0,0,0,NA,1
"ALCD2x_copy2_rev",0,0,0,NA,1
"ALDD22x",0,0,0,NA,1
"ALDD2xm",0,0,0,NA,1
"ALDD2y",0.440487404867944,0.439012242689967,-0.00483958423569845,7.79141162092234e-22,1.56859033905311e-21
"ALDD2ym",0,0,0,NA,1
"ALPHNH",0,0,0,NA,1
"AMPDA",0,0,0,NA,1
"AMPN",0,0,0,NA,1
"ANPRT",0,0,0,NA,1
"ANS",0,0,0,NA,1
"AP4AH",0,0,0,NA,1
"APRTO2",0,0,0,NA,1
"ARGN",0.00292192168625136,0,-11.5131954602411,1.44019401345064e-28,1.26874234518271e-27
"ARGSL",0,0,0,NA,1
"ARGSS",0,0,0,NA,1
"ARGt2r",0.111592912031289,0.108670990345038,-0.0382781826263556,7.83028201735604e-23,3.29227766638833e-22
"ARGt2r_rev",0,0,0,NA,1
"ASAD",0,0,0,NA,1
"ASAD_rev",0,0,0,NA,1
"ASNN",0,0.00043636303885125,8.77268749447918,1.44019401345064e-28,1.26874234518271e-27
"ASNNe",0,0,0,NA,1
"ASNS1",0,0,0,NA,1
"ASNt2r",0.0687731158561937,0.069209478895045,0.00912479964819163,1.52363756765384e-25,1.043973888948e-24
"ASNt2r_rev",0,0,0,NA,1
"ASNt6",0,0,0,NA,1
"ASNt7",0,0,0,NA,1
"ASPCT",0,0,0,NA,1
"ASPGLU2m",0,0,0,NA,1
"ASPK",0,0,0,NA,1
"ASPOcm",0,0,0,NA,1
"ASPTA",0,0.0500144642981181,15.6100866107726,1.44019401345064e-28,1.26874234518271e-27
"ASPTA_rev",0,0,0,NA,1
"ASPTAm",0,0,0,NA,1
"ASPTAm_rev",3.70955597275491,3.80630732805134,0.0371455330504741,7.79941358239863e-22,1.56859033905311e-21
"ASPt2m",0,0,0,NA,1
"ASPt2m_rev",3.70955597275491,3.80630732805135,0.0371455330504772,7.79941358239863e-22,1.56859033905311e-21
"ASPt2n",0.143108811255409,0.134435549969336,-0.0901971585594662,1,1
"ASPt2r",0,0,0,NA,1
"ASPt2r_rev",3.50837601240862,3.5555492664458,0.0192690634245096,7.79941358239863e-22,1.56859033905311e-21
"ASPt5n",0.143108811255409,0.134435549969336,-0.0901971585594662,1,1
"ATPATF1",0,0,0,NA,1
"ATPH1",0,0,0,NA,1
"ATPM",1,1,0,NA,1
"ATPPRT",0,0,0,NA,1
"ATPS",0,0,0,NA,1
"ATPS3m",26.2453841755039,26.2563677742611,0.000603636354871059,7.80055736177764e-22,1.56859033905311e-21
"ATPtm_H",30.0579428419902,30.1131605100683,0.00264785823035022,7.79941358239863e-22,1.56859033905311e-21
"BIOMASS_SC5_notrace",0.676235160827863,0.676235160827863,0,NA,1
"BPNT",0,0,0,NA,1
"BTDD_RR",1.8905663666697,2.99144021361716,0.662021454256679,7.80055736177764e-22,1.56859033905311e-21
"BTDt_RR",0,0,0,NA,1
"BTDt_RR_rev",1.8905663666697,2.99144021361716,0.662021454256679,7.80055736177764e-22,1.56859033905311e-21
"C14STR",0.00148771735381898,0.00148771735381898,0,NA,1
"C22STDS",0,0,0,NA,1
"C22STDSx",0,0,0,NA,1
"C24STRer",0.0004733646125795,0.0004733646125795,0,NA,1
"C3STDH1",0.00148771735381898,0.00148771735381898,0,NA,1
"C3STDH2",0.00148771735381898,0.00148771735381898,0,NA,1
"C3STKR1",0.00148771735381898,0.00148771735381898,0,NA,1
"C3STKR2",0.00148771735381898,0.00148771735381898,0,NA,1
"C4STMO1",0.00148771735381898,0.00148771735381898,0,NA,1
"C4STMO2",0.00148771735381898,0.00148771735381898,0,NA,1
"C5STDS",0,0,0,NA,1
"C8STI",0,0,0,NA,1
"CAT",0,0,0,NA,1
"CBPS",0,0,0,NA,1
"CERASE124er",0,0,0,NA,1
"CERASE126er",0,0,0,NA,1
"CERASE224er",0,0,0,NA,1
"CERASE226er",0,0,0,NA,1
"CERS124er",0,0,0,NA,1
"CERS126er",0,0,0,NA,1
"CERS224er",0,0,0,NA,1
"CERS226er",0,0,0,NA,1
"CHLPCTD",9.99999999999995e-05,9.99999999999994e-05,-1.28137060152597e-15,0.00958181457786161,0.0153474952112935
"CHLSTI",0.00047336461257718,0.00047336461257718,0,NA,1
"CHOLK",9.99999999999995e-05,9.99999999999994e-05,-1.28137060152597e-15,0.00958181457786161,0.0153474952112935
"CHORM",0,0,0,NA,1
"CHORS",0,0,0,NA,1
"CITt2r",0,0,0,NA,1
"CITt2r_rev",0,0,0,NA,1
"CITtam",0,0,0,NA,1
"CITtam_rev",0.000200000000078934,0.000205245217264462,0.037165162314498,2.65434375680868e-22,1.01248163919506e-21
"CITtbm",0,0,0,NA,1
"CITtcm",0,2.66370660337995e-12,3.84291118875761e-06,0.325178960006528,0.403745688598709
"CITtcm_rev",1.67809891813474e-06,0,-1.42120924896203,2.34560292021189e-28,1.92860684550755e-27
"CMPN",0,0,0,NA,1
"CO2t",0,0,0,NA,1
"CO2t_rev",20.4244254971513,21.5314096364394,0.076147272048087,7.80055736177764e-22,1.56859033905311e-21
"CO2tm",0,0,0,NA,1
"CO2tm_rev",4.15480601720796,4.19628278533296,0.0143307793261681,7.80055736177764e-22,1.56859033905311e-21
"CO2tn",0.143108811255409,0.134435549969336,-0.0901971585594662,1,1
"CO2tv",0,0,0,NA,1
"COAtim",0.0089263041229151,0.00892630412292336,1.33486782413906e-12,0.450600050708691,0.530961843191769
"CRNCARtm",0,0,0,NA,1
"CRNtim",0,0,0,NA,1
"CSNATm",0,0,0,NA,1
"CSNATr",0,0,0,NA,1
"CSND",0.0747916087875617,0.0313606746528484,-1.2538931074049,2.09389439189968e-12,3.99350992269527e-12
"CSNt2",0.0747916087875617,0.0313606746528484,-1.2538931074049,2.09389439189968e-12,3.99350992269527e-12
"CSm",0.000201678098940084,0.000205245214603166,0.0251704436805636,1.20641214913793e-22,4.90519225473663e-22
"CTPS1",0.029740167952086,0.029740167951724,-1.75615044366706e-11,0.403598997066222,0.484842951021111
"CTPS2",0.000487543736919437,0.000487543736919437,3.20342650381492e-16,1,1
"CTPtm",8.25006896209972e-05,0,-6.38371620754812,1.75403531682438e-26,1.29798613445004e-25
"CYOOm",11.6992945876644,11.6992945876644,-3.04325517862418e-15,0.960141808391801,1
"CYOR_u6m",23.3983783074238,23.3983889160284,6.54104184695275e-07,7.79598320747168e-22,1.56859033905311e-21
"CYSS",0,0,0,NA,1
"CYSTGL",0.0126455975074787,0.0126455975074787,0,NA,1
"CYSTL",0,0,0,NA,1
"CYSTS",0.0126455975074787,0.0126455975074787,3.20342650381491e-15,8.22264565649897e-08,1.4487518537641e-07
"CYSt2r",0,0,0,NA,1
"CYSt2r_rev",0.00818244544601482,0.00818244544601482,0,NA,1
"CYTD",0,0,0,NA,1
"CYTDK2",0,0,0,NA,1
"CYTK1",0,0,0,NA,1
