"Reaction","WT_mean","mip6_mean","log2FC","p_value","FDR"
"2HBO",0.388366154558583,0.624144030791877,0.684460110330667,7.79826996356911e-22,1.52535651381295e-21
"2HBt2_rev",0.388366154558583,0.624144030791877,0.684460110330667,7.79826996356911e-22,1.52535651381295e-21
"ALATA_L_rev",0,0.00187956145330871,10.8769477364458,4.43827639397546e-25,2.43488774391709e-24
"ASNN",0,0.00225105969941018,11.1370293567079,1.65468717235691e-25,1.30720286616196e-24
"ASNNe",0,0.124450053189961,16.9252189138799,0.0437571240179657,0.0485507415367877
"ASNt6",0,0.0145031257404663,13.8241757169395,0.00105432443324408,0.00125818172547254
"ASNt7",0,0.0145031257404663,13.8241757169395,0.00105432443324408,0.00125818172547254
"CTPS2",0.00487543736919434,0.000487543736919444,-3.3192678970473,0.00531783252600295,0.00625161859455704
"DGK1_rev",0.00245211594929436,0.00162296438666968,-0.595095431363571,0.00724654612989797,0.00846859680860858
"DHFR",0,0.00243444657857964,11.2499706227312,5.81271250857487e-28,6.75300423790316e-27
"DURIPP",0.000819989667595142,-1.04555701014649e-13,-9.68122040597784,1.21139702957967e-07,1.84039164109219e-07
"EX_2hb_e",0.388366154558583,0.624144030791877,0.684460110330667,7.79826996356911e-22,1.52535651381295e-21
"EX_Nbfortyr_e",0,0.000335126760041176,8.39286159419352,1.46477726667398e-25,1.18078983742086e-24
"EX_asn__L_e_rev",0.0687731158561927,0.195474228745565,1.50704820329862,4.33216417179529e-22,1.41421888252821e-21
"EX_thym_e_rev",0.00243444657898027,0,-11.2499706229686,5.38045110478288e-27,6.07222338968353e-26
"FACOAL140",2.64849587748569e-05,1.68387096774194e-05,-0.623631050494734,1.83387279819944e-09,2.9208861100354e-09
"FACOAL140_rev",0.00641612599557553,0.0149449780740412,1.2197580960835,4.40747126765301e-05,5.82257909940783e-05
"FACOAL181",0.00246827715403131,0.00145893194191816,-0.758187658912484,3.93250558263222e-17,7.32707408084777e-17
"FAS160",0.00601079215149278,0.0145488000914404,1.275132294947,0.00157799042800336,0.00187179044763161
"G6PDH2r",0.00204719553374102,0,-11.0001377353969,1.0086527501888e-24,5.16820346092981e-24
"GHMT2r",0,0.00310470009906265,11.6007028077278,3.93186730587283e-25,2.28395233208789e-24
"GLCtv_rev",0.152125276357106,0.359677518357634,1.24143863034672,7.73221403660493e-22,1.52535651381295e-21
"GLNt6",0,0.0217546886106192,14.4091050613051,4.15896022348214e-05,5.51271573246794e-05
"GLNt7",0,0.0217546886106192,14.4091050613051,4.15896022348214e-05,5.51271573246794e-05
"GND",0.00400827750013724,0.00196108196637399,-1.03095696466497,3.63967676983735e-23,1.51333928851132e-22
"H2Otv",0.0760626381785528,0.179838759178817,1.24143315790429,7.73788734829581e-22,1.52535651381295e-21
"ILETAm",0.0179027270685177,0.0371928019186506,1.05480227795999,3.3637210866184e-22,1.20788166292206e-21
"ILEt6",0,0.0203043760368934,14.3095741244447,8.05822297004758e-05,0.000104703883985816
"ILEt7",0,0.0203043760368934,14.3095741244447,8.05822297004758e-05,0.000104703883985816
"ILEtmi",0.0179027270685177,0.0371928019186506,1.05480227795999,3.3637210866184e-22,1.20788166292206e-21
"LEUt6",0,0.0203043760357487,14.3095741243633,8.05822297004758e-05,0.000104703883985816
"LEUt7",0,0.0203043760357487,14.3095741243633,8.05822297004758e-05,0.000104703883985816
"ME1m",0,0.259189883439182,17.9836554494171,1.009038676745e-24,5.16820346092981e-24
"ME2m",0.247710818422803,0,-17.918303176179,1.00923169331926e-24,5.16820346092981e-24
"MTHFC",0,0.000670253520483009,9.39071393930862,4.133738565377e-25,2.33260961903416e-24
"MTHFD",0,0.000670253520483009,9.39071393930862,4.133738565377e-25,2.33260961903416e-24
"NFORTYRt",0,0.000335126760041176,8.39286159419352,1.46477726667398e-25,1.18078983742086e-24
"NFTYROX",0,0.000335126760041176,8.39286159419352,1.46477726667398e-25,1.18078983742086e-24
"NTD1",0.000819989667595142,0,-9.68122025513584,6.37531009686264e-07,9.39644585171919e-07
"NTD6",0.0007853053480582,0,-9.61894585669026,1.32061324082242e-06,1.92487907795149e-06
"NTD8",0.000829151563307513,0,-9.69723094752373,1.49148553460884e-07,2.24006382574332e-07
"P5CDm",0,0.00583600649151851,12.5110129573497,1.46477726667398e-25,1.18078983742086e-24
"PGL",0.00400827750013724,0.00196108196637399,-1.03095696466497,3.63967676983735e-23,1.51333928851132e-22
"PRO1xm",0,0.00583600649151851,12.5110129573497,1.46477726667398e-25,1.18078983742086e-24
"PROtm",0,0.00583600649151851,12.5110129573497,1.46477726667398e-25,1.18078983742086e-24
"PUNP2",0.000588979011043651,0,-9.20451982017825,4.12691260175848e-05,5.50719755977906e-05
"PUNP4",0.000829151563307513,0,-9.69723094752373,1.49148553460884e-07,2.24006382574332e-07
"RNDR4",0.00244295405358234,0.00405741096502267,0.731697800766491,6.70514328772137e-12,1.20937515920089e-11
"SERD_L",0.0200364069686623,0.0768681048792679,1.93970804662214,1.77023558094552e-08,2.77477402568841e-08
"THYMt3r",0.00243444657898005,0,-11.2499706229684,3.55199195214619e-25,2.09408480760857e-24
"TMDK1",0.00243444657898027,0,-11.2499706229686,1.20310417258998e-25,1.13149082898344e-24
"TMDPP_rev",0.00243444657898005,0,-11.2499706229684,3.55199195214619e-25,2.09408480760857e-24
"TMDS",0,0.00243444657857964,11.2499706227312,5.81271250857487e-28,6.75300423790316e-27
"TREHv",0.0760626381785528,0.179838759178817,1.24143315790429,7.73788734829581e-22,1.52535651381295e-21
"TREt2v",0.0760626381785528,0.179838759178817,1.24143315790429,7.73788734829581e-22,1.52535651381295e-21
"TYRNFT",0,0.000335126760041176,8.39286159419352,1.46477726667398e-25,1.18078983742086e-24
"TYRt6",0.0380313190892764,0.0130528131656809,-1.54275461677307,1.27305114388572e-12,2.30667523777458e-12
"TYRt7",0.0380313190892764,0.0130528131656809,-1.54275461677307,1.27305114388572e-12,2.30667523777458e-12
"URIDK2r_rev",0.00244295405358231,0.00405741096534772,0.731697800882059,1.87122474096802e-16,3.43783150084821e-16
