Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR9929269_1	(1.0, 9.142839767501489)	(2.0, 4.88321107289875)	(3.0, 3.6413444437860236)	(4.0, 3.037373833339042)	(5.0, 2.422415805095914)	(6.0, 2.224853847105505)	(7.0, 1.9122772356730897)	(8.0, 1.7129787726379364)	(9.0, 1.5318171344458489)	('>10', 22.05532347551089)	('>50', 7.834279038083654)	('>100', 16.15455786956026)	('>500', 6.046304750806504)	('>1k', 9.339926075032322)	('>5k', 2.3472958903604404)	('>10k+', 5.7132009881624795)
SRR9929269_2	(1.0, 10.558745203760306)	(2.0, 6.403911071020307)	(3.0, 4.8721443846424375)	(4.0, 3.883313806258463)	(5.0, 3.24126238461373)	(6.0, 2.6296000193257627)	(7.0, 2.284939223897507)	(8.0, 1.9516024127196572)	(9.0, 1.6711920034640764)	('>10', 21.203919065661132)	('>50', 7.588406910473486)	('>100', 15.286321815544493)	('>500', 4.942266340982388)	('>1k', 7.594233706418992)	('>5k', 2.3333216947210396)	('>10k+', 3.5548199564961407)
SRR9929270_1	(1.0, 7.9108347823099665)	(2.0, 4.911583379847477)	(3.0, 3.565652752726203)	(4.0, 2.7308721076181732)	(5.0, 2.151326561603859)	(6.0, 1.808459051181448)	(7.0, 1.5859218402376034)	(8.0, 1.369391483029957)	(9.0, 1.2103945059692696)	('>10', 16.650534643642366)	('>50', 6.411364245348137)	('>100', 14.589893144847766)	('>500', 6.122045588545211)	('>1k', 11.821195366368901)	('>5k', 4.1771028380245285)	('>10k+', 12.983427708699127)
SRR9929270_2	(1.0, 17.76871142593554)	(2.0, 5.6587713057345574)	(3.0, 3.988193337797763)	(4.0, 2.904931857312804)	(5.0, 2.155819257525412)	(6.0, 1.8200113769209336)	(7.0, 1.484462272637508)	(8.0, 1.3031642430133332)	(9.0, 1.0654507640954796)	('>10', 14.805510655687831)	('>50', 5.686886213489004)	('>100', 13.427679572181264)	('>500', 5.365326330438694)	('>1k', 9.584736891384042)	('>5k', 3.3205894213545735)	('>10k+', 9.659755074491287)
SRR9929271_1	(1.0, 7.221815174864686)	(2.0, 4.342448827407243)	(3.0, 3.232311107558515)	(4.0, 2.6355715014257015)	(5.0, 2.182014104317581)	(6.0, 1.9847425739772013)	(7.0, 1.6929778678753418)	(8.0, 1.5937146069237997)	(9.0, 1.4405285276587207)	('>10', 22.17730213941728)	('>50', 8.306878497384561)	('>100', 16.073573794378003)	('>500', 6.090428787465467)	('>1k', 11.674655735942894)	('>5k', 3.1070967448343443)	('>10k+', 6.243940008568673)
SRR9929271_2	(1.0, 10.290373542361618)	(2.0, 5.981927814631514)	(3.0, 4.845125381698576)	(4.0, 3.919732889392479)	(5.0, 3.2224234473082007)	(6.0, 2.7373762272461812)	(7.0, 2.3306694072496255)	(8.0, 2.020411037558196)	(9.0, 1.7339002337756204)	('>10', 21.831858483032864)	('>50', 6.844172088045024)	('>100', 14.583625550154169)	('>500', 5.697417073545898)	('>1k', 7.975039443824233)	('>5k', 2.3732728568487444)	('>10k+', 3.6126745233272626)
SRR9929272_1	(1.0, 7.038452184222245)	(2.0, 4.509514119302885)	(3.0, 3.2566187155794983)	(4.0, 2.6352174438219214)	(5.0, 2.1837349875494043)	(6.0, 1.8924631033140071)	(7.0, 1.7267311864492239)	(8.0, 1.5532211752599663)	(9.0, 1.4322492797629764)	('>10', 23.01394799463572)	('>50', 8.371294528415223)	('>100', 16.9508778116198)	('>500', 6.588895032265893)	('>1k', 11.042223321758772)	('>5k', 3.1059537742973644)	('>10k+', 4.698605341745021)
SRR9929272_2	(1.0, 10.338233073302133)	(2.0, 5.976487205056146)	(3.0, 4.879170202059071)	(4.0, 3.9558144740059227)	(5.0, 3.298835190873061)	(6.0, 2.801422794599899)	(7.0, 2.407490238428972)	(8.0, 2.039249014609467)	(9.0, 1.7881348267343915)	('>10', 22.132062931323276)	('>50', 7.526549118199596)	('>100', 15.81163360198928)	('>500', 4.986667799409348)	('>1k', 7.3251319480218955)	('>5k', 1.904577823939173)	('>10k+', 2.828539757448462)
SRR9929273_1	(1.0, 7.5384722464742)	(2.0, 3.9729661103095886)	(3.0, 2.9129145780998495)	(4.0, 2.377095345434061)	(5.0, 2.0124546593117567)	(6.0, 1.7119879737627766)	(7.0, 1.5032092876111527)	(8.0, 1.4075366694749731)	(9.0, 1.2596878967138645)	('>10', 20.132004271536477)	('>50', 8.126415022752283)	('>100', 18.576471209053473)	('>500', 7.7746594367302535)	('>1k', 12.396071146254965)	('>5k', 3.441007789435862)	('>10k+', 4.857046357044348)
SRR9929273_2	(1.0, 10.517858118391473)	(2.0, 5.423338351967395)	(3.0, 4.151509580967529)	(4.0, 3.327355352680349)	(5.0, 2.6356462798077236)	(6.0, 2.27845341018154)	(7.0, 1.9364511206020114)	(8.0, 1.6641993451902617)	(9.0, 1.5041242374585209)	('>10', 20.506150597667723)	('>50', 8.135328514778148)	('>100', 19.344660133636012)	('>500', 6.103597147578764)	('>1k', 7.9685199058802)	('>5k', 1.9564798581580118)	('>10k+', 2.546328045054246)
