Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
SRR9929268_1	(14, 15.0)	(16, 16.0)	(18, 38.0)	(20, 83.0)	(22, 35.0)	(24, 92.0)	(26, 222.0)	(28, 273.0)	(30, 522.0)	(32, 746.0)	(34, 867.0)	(36, 1194.0)	(38, 2027.0)	(40, 3031.0)	(42, 3788.0)	(44, 4616.0)	(46, 6845.0)	(48, 10041.0)	(50, 13811.0)	(52, 16189.0)	(54, 17921.0)	(56, 23100.0)	(58, 29750.0)	(60, 37495.0)	(62, 42804.0)	(64, 49096.0)	(66, 58103.0)	(68, 68243.0)	(70, 81651.0)	(72, 96163.0)	(74, 108339.0)	(76, 123452.0)	(78, 135925.0)	(80, 156599.0)	(82, 188200.0)	(84, 210425.0)	(86, 239095.0)	(88, 256141.0)	(90, 285488.0)	(92, 317907.0)	(94, 334534.0)	(96, 365756.0)	(98, 384661.0)	(100, 26336746.0)
SRR9929268_2	(14, 16.0)	(16, 16.0)	(18, 38.0)	(20, 83.0)	(22, 36.0)	(24, 89.0)	(26, 223.0)	(28, 278.0)	(30, 522.0)	(32, 743.0)	(34, 863.0)	(36, 1197.0)	(38, 2014.0)	(40, 2997.0)	(42, 3765.0)	(44, 4562.0)	(46, 6777.0)	(48, 9952.0)	(50, 13637.0)	(52, 16016.0)	(54, 17706.0)	(56, 22849.0)	(58, 29396.0)	(60, 37100.0)	(62, 42315.0)	(64, 48443.0)	(66, 57316.0)	(68, 67450.0)	(70, 80721.0)	(72, 94976.0)	(74, 107081.0)	(76, 121918.0)	(78, 134054.0)	(80, 154494.0)	(82, 185722.0)	(84, 207550.0)	(86, 235410.0)	(88, 252946.0)	(90, 280950.0)	(92, 314242.0)	(94, 339819.0)	(96, 373979.0)	(98, 384661.0)	(100, 26357123.0)
SRR9929269_1	(14, 16.0)	(16, 14.0)	(18, 41.0)	(20, 61.0)	(22, 52.0)	(24, 117.0)	(26, 259.0)	(28, 401.0)	(30, 642.0)	(32, 933.0)	(34, 1101.0)	(36, 1651.0)	(38, 2542.0)	(40, 3564.0)	(42, 4668.0)	(44, 5656.0)	(46, 7465.0)	(48, 10744.0)	(50, 14241.0)	(52, 16072.0)	(54, 17540.0)	(56, 21767.0)	(58, 27770.0)	(60, 34208.0)	(62, 38045.0)	(64, 43016.0)	(66, 50137.0)	(68, 58746.0)	(70, 69179.0)	(72, 81999.0)	(74, 91450.0)	(76, 102168.0)	(78, 113346.0)	(80, 130454.0)	(82, 156223.0)	(84, 174981.0)	(86, 199024.0)	(88, 215522.0)	(90, 242232.0)	(92, 273463.0)	(94, 287543.0)	(96, 318998.0)	(98, 333819.0)	(100, 24772906.0)
SRR9929269_2	(14, 16.0)	(16, 15.0)	(18, 43.0)	(20, 61.0)	(22, 53.0)	(24, 116.0)	(26, 266.0)	(28, 400.0)	(30, 636.0)	(32, 928.0)	(34, 1092.0)	(36, 1651.0)	(38, 2526.0)	(40, 3527.0)	(42, 4641.0)	(44, 5614.0)	(46, 7390.0)	(48, 10654.0)	(50, 14092.0)	(52, 15910.0)	(54, 17364.0)	(56, 21558.0)	(58, 27486.0)	(60, 33885.0)	(62, 37594.0)	(64, 42577.0)	(66, 49547.0)	(68, 58087.0)	(70, 68387.0)	(72, 81115.0)	(74, 90528.0)	(76, 100989.0)	(78, 111928.0)	(80, 128830.0)	(82, 154502.0)	(84, 172965.0)	(86, 196522.0)	(88, 213004.0)	(90, 238678.0)	(92, 270469.0)	(94, 292879.0)	(96, 327557.0)	(98, 333819.0)	(100, 24784875.0)
SRR9929270_1	(30, 61.0)	(32, 130.0)	(34, 115.0)	(36, 180.0)	(38, 205.0)	(40, 266.0)	(42, 322.0)	(44, 528.0)	(46, 803.0)	(48, 1194.0)	(50, 1487.0)	(52, 1851.0)	(54, 2464.0)	(56, 3821.0)	(58, 5353.0)	(60, 7119.0)	(62, 8630.0)	(64, 10901.0)	(66, 13718.0)	(68, 18305.0)	(70, 22190.0)	(72, 30391.0)	(74, 35739.0)	(76, 42338.0)	(78, 50706.0)	(80, 64627.0)	(82, 87502.0)	(84, 95423.0)	(86, 116220.0)	(88, 130478.0)	(90, 153534.0)	(92, 181429.0)	(94, 189532.0)	(96, 222009.0)	(98, 265240.0)	(100, 16802237.0)								
SRR9929270_2	(30, 61.0)	(32, 130.0)	(34, 115.0)	(36, 180.0)	(38, 205.0)	(40, 266.0)	(42, 322.0)	(44, 528.0)	(46, 803.0)	(48, 1194.0)	(50, 1487.0)	(52, 1851.0)	(54, 2464.0)	(56, 3821.0)	(58, 5353.0)	(60, 7119.0)	(62, 8630.0)	(64, 10901.0)	(66, 13718.0)	(68, 18305.0)	(70, 22190.0)	(72, 30391.0)	(74, 35739.0)	(76, 42338.0)	(78, 50706.0)	(80, 64627.0)	(82, 87502.0)	(84, 95423.0)	(86, 116220.0)	(88, 130478.0)	(90, 153534.0)	(92, 181429.0)	(94, 189532.0)	(96, 222009.0)	(98, 265240.0)	(100, 16802237.0)								
SRR9929271_1	(14, 4.0)	(16, 7.0)	(18, 16.0)	(20, 7.0)	(22, 5.0)	(24, 16.0)	(26, 31.0)	(28, 33.0)	(30, 228.0)	(32, 345.0)	(34, 312.0)	(36, 326.0)	(38, 426.0)	(40, 550.0)	(42, 635.0)	(44, 918.0)	(46, 1191.0)	(48, 1691.0)	(50, 2499.0)	(52, 3089.0)	(54, 3634.0)	(56, 5162.0)	(58, 6716.0)	(60, 9463.0)	(62, 11514.0)	(64, 14477.0)	(66, 18711.0)	(68, 23766.0)	(70, 30587.0)	(72, 38910.0)	(74, 46736.0)	(76, 56362.0)	(78, 67530.0)	(80, 82634.0)	(82, 103138.0)	(84, 123344.0)	(86, 148907.0)	(88, 168881.0)	(90, 199576.0)	(92, 229921.0)	(94, 248579.0)	(96, 286200.0)	(98, 305342.0)	(100, 26844018.0)
SRR9929271_2	(14, 4.0)	(16, 6.0)	(18, 15.0)	(20, 7.0)	(22, 4.0)	(24, 16.0)	(26, 32.0)	(28, 33.0)	(30, 229.0)	(32, 345.0)	(34, 313.0)	(36, 330.0)	(38, 424.0)	(40, 544.0)	(42, 629.0)	(44, 907.0)	(46, 1171.0)	(48, 1642.0)	(50, 2467.0)	(52, 3035.0)	(54, 3576.0)	(56, 5101.0)	(58, 6599.0)	(60, 9299.0)	(62, 11248.0)	(64, 14171.0)	(66, 18337.0)	(68, 23326.0)	(70, 30057.0)	(72, 38185.0)	(74, 45895.0)	(76, 55328.0)	(78, 66084.0)	(80, 80994.0)	(82, 101103.0)	(84, 120632.0)	(86, 145559.0)	(88, 165417.0)	(90, 194218.0)	(92, 226807.0)	(94, 254286.0)	(96, 297142.0)	(98, 305342.0)	(100, 26855578.0)
SRR9929272_1	(14, 9.0)	(16, 26.0)	(18, 25.0)	(20, 75.0)	(22, 30.0)	(24, 52.0)	(26, 124.0)	(28, 176.0)	(30, 296.0)	(32, 480.0)	(34, 513.0)	(36, 634.0)	(38, 927.0)	(40, 1375.0)	(42, 1789.0)	(44, 2311.0)	(46, 3559.0)	(48, 5317.0)	(50, 7811.0)	(52, 9405.0)	(54, 11106.0)	(56, 14978.0)	(58, 20622.0)	(60, 27110.0)	(62, 33019.0)	(64, 39717.0)	(66, 47974.0)	(68, 58407.0)	(70, 70622.0)	(72, 85983.0)	(74, 99324.0)	(76, 115981.0)	(78, 131525.0)	(80, 152406.0)	(82, 185959.0)	(84, 211872.0)	(86, 244998.0)	(88, 263862.0)	(90, 299209.0)	(92, 341441.0)	(94, 354443.0)	(96, 398881.0)	(98, 423096.0)	(100, 26178324.0)
SRR9929272_2	(14, 9.0)	(16, 25.0)	(18, 24.0)	(20, 74.0)	(22, 32.0)	(24, 55.0)	(26, 128.0)	(28, 182.0)	(30, 289.0)	(32, 467.0)	(34, 503.0)	(36, 626.0)	(38, 909.0)	(40, 1349.0)	(42, 1750.0)	(44, 2261.0)	(46, 3466.0)	(48, 5217.0)	(50, 7639.0)	(52, 9218.0)	(54, 10831.0)	(56, 14629.0)	(58, 20197.0)	(60, 26527.0)	(62, 32261.0)	(64, 38800.0)	(66, 46772.0)	(68, 57153.0)	(70, 69075.0)	(72, 84025.0)	(74, 97066.0)	(76, 113457.0)	(78, 128253.0)	(80, 148661.0)	(82, 181600.0)	(84, 206587.0)	(86, 239018.0)	(88, 257752.0)	(90, 291577.0)	(92, 333964.0)	(94, 359497.0)	(96, 406149.0)	(98, 423096.0)	(100, 26224623.0)
