Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
SRR9929278_1	(14, 7.0)	(16, 9.0)	(18, 26.0)	(20, 26.0)	(22, 15.0)	(24, 31.0)	(26, 78.0)	(28, 130.0)	(30, 265.0)	(32, 424.0)	(34, 477.0)	(36, 631.0)	(38, 870.0)	(40, 1326.0)	(42, 1801.0)	(44, 2274.0)	(46, 3242.0)	(48, 5055.0)	(50, 7381.0)	(52, 8771.0)	(54, 9978.0)	(56, 13370.0)	(58, 17302.0)	(60, 23049.0)	(62, 27478.0)	(64, 31894.0)	(66, 39424.0)	(68, 46957.0)	(70, 57187.0)	(72, 69300.0)	(74, 80599.0)	(76, 93461.0)	(78, 106157.0)	(80, 125274.0)	(82, 153298.0)	(84, 177225.0)	(86, 208322.0)	(88, 228240.0)	(90, 259618.0)	(92, 292097.0)	(94, 314581.0)	(96, 345780.0)	(98, 373509.0)	(100, 24474927.0)
SRR9929278_2	(14, 6.0)	(16, 9.0)	(18, 26.0)	(20, 25.0)	(22, 14.0)	(24, 30.0)	(26, 74.0)	(28, 132.0)	(30, 261.0)	(32, 424.0)	(34, 472.0)	(36, 625.0)	(38, 862.0)	(40, 1315.0)	(42, 1777.0)	(44, 2257.0)	(46, 3203.0)	(48, 5000.0)	(50, 7269.0)	(52, 8664.0)	(54, 9832.0)	(56, 13159.0)	(58, 17080.0)	(60, 22752.0)	(62, 27088.0)	(64, 31394.0)	(66, 38736.0)	(68, 46284.0)	(70, 56362.0)	(72, 68324.0)	(74, 79464.0)	(76, 92251.0)	(78, 104441.0)	(80, 123268.0)	(82, 151008.0)	(84, 174332.0)	(86, 204967.0)	(88, 224945.0)	(90, 255303.0)	(92, 288173.0)	(94, 319546.0)	(96, 352160.0)	(98, 373509.0)	(100, 24495043.0)
SRR9929279_1	(14, 5.0)	(16, 12.0)	(18, 22.0)	(20, 28.0)	(22, 11.0)	(24, 18.0)	(26, 26.0)	(28, 47.0)	(30, 185.0)	(32, 301.0)	(34, 335.0)	(36, 398.0)	(38, 557.0)	(40, 861.0)	(42, 1068.0)	(44, 1424.0)	(46, 2010.0)	(48, 3047.0)	(50, 4252.0)	(52, 5290.0)	(54, 5983.0)	(56, 7852.0)	(58, 10742.0)	(60, 13840.0)	(62, 16720.0)	(64, 20145.0)	(66, 24523.0)	(68, 29958.0)	(70, 38061.0)	(72, 48591.0)	(74, 57635.0)	(76, 67407.0)	(78, 77904.0)	(80, 93282.0)	(82, 115156.0)	(84, 134852.0)	(86, 158649.0)	(88, 178327.0)	(90, 210176.0)	(92, 238954.0)	(94, 255815.0)	(96, 301718.0)	(98, 312355.0)	(100, 25190952.0)
SRR9929279_2	(14, 5.0)	(16, 13.0)	(18, 21.0)	(20, 28.0)	(22, 11.0)	(24, 15.0)	(26, 25.0)	(28, 48.0)	(30, 184.0)	(32, 300.0)	(34, 332.0)	(36, 399.0)	(38, 553.0)	(40, 836.0)	(42, 1058.0)	(44, 1400.0)	(46, 1988.0)	(48, 3006.0)	(50, 4211.0)	(52, 5238.0)	(54, 5922.0)	(56, 7762.0)	(58, 10625.0)	(60, 13673.0)	(62, 16507.0)	(64, 19884.0)	(66, 24213.0)	(68, 29591.0)	(70, 37588.0)	(72, 47975.0)	(74, 56892.0)	(76, 66578.0)	(78, 76820.0)	(80, 91932.0)	(82, 113539.0)	(84, 132872.0)	(86, 156402.0)	(88, 175873.0)	(90, 206449.0)	(92, 235951.0)	(94, 261475.0)	(96, 310253.0)	(98, 312355.0)	(100, 25198692.0)
SRR9929280_1	(14, 8.0)	(16, 6.0)	(18, 21.0)	(20, 36.0)	(22, 16.0)	(24, 58.0)	(26, 97.0)	(28, 150.0)	(30, 305.0)	(32, 511.0)	(34, 503.0)	(36, 693.0)	(38, 953.0)	(40, 1470.0)	(42, 2007.0)	(44, 2532.0)	(46, 3650.0)	(48, 5630.0)	(50, 8123.0)	(52, 10113.0)	(54, 11725.0)	(56, 15692.0)	(58, 20630.0)	(60, 26758.0)	(62, 31768.0)	(64, 37585.0)	(66, 44620.0)	(68, 52943.0)	(70, 63337.0)	(72, 75247.0)	(74, 86277.0)	(76, 97876.0)	(78, 110722.0)	(80, 127615.0)	(82, 153982.0)	(84, 174714.0)	(86, 202961.0)	(88, 223313.0)	(90, 253749.0)	(92, 283389.0)	(94, 303727.0)	(96, 340137.0)	(98, 363571.0)	(100, 28970576.0)
SRR9929280_2	(14, 8.0)	(16, 7.0)	(18, 21.0)	(20, 37.0)	(22, 16.0)	(24, 57.0)	(26, 97.0)	(28, 148.0)	(30, 303.0)	(32, 506.0)	(34, 497.0)	(36, 686.0)	(38, 941.0)	(40, 1445.0)	(42, 1979.0)	(44, 2504.0)	(46, 3592.0)	(48, 5569.0)	(50, 8005.0)	(52, 9993.0)	(54, 11532.0)	(56, 15446.0)	(58, 20337.0)	(60, 26403.0)	(62, 31232.0)	(64, 36944.0)	(66, 43867.0)	(68, 52179.0)	(70, 62397.0)	(72, 74138.0)	(74, 85078.0)	(76, 96346.0)	(78, 108680.0)	(80, 125489.0)	(82, 151513.0)	(84, 171606.0)	(86, 199237.0)	(88, 219604.0)	(90, 248358.0)	(92, 280007.0)	(94, 310581.0)	(96, 351099.0)	(98, 363571.0)	(100, 28987741.0)
SRR9929281_1	(14, 17.0)	(16, 13.0)	(18, 39.0)	(20, 31.0)	(22, 13.0)	(24, 23.0)	(26, 47.0)	(28, 77.0)	(30, 252.0)	(32, 360.0)	(34, 439.0)	(36, 539.0)	(38, 739.0)	(40, 1051.0)	(42, 1544.0)	(44, 1780.0)	(46, 2534.0)	(48, 3971.0)	(50, 5902.0)	(52, 6918.0)	(54, 7822.0)	(56, 10787.0)	(58, 13946.0)	(60, 18550.0)	(62, 21884.0)	(64, 25683.0)	(66, 32372.0)	(68, 39331.0)	(70, 48823.0)	(72, 60180.0)	(74, 70341.0)	(76, 81698.0)	(78, 93958.0)	(80, 112762.0)	(82, 136601.0)	(84, 157502.0)	(86, 185478.0)	(88, 206738.0)	(90, 239876.0)	(92, 267948.0)	(94, 289438.0)	(96, 328859.0)	(98, 343537.0)	(100, 28728026.0)
SRR9929281_2	(14, 16.0)	(16, 13.0)	(18, 39.0)	(20, 31.0)	(22, 13.0)	(24, 25.0)	(26, 50.0)	(28, 79.0)	(30, 253.0)	(32, 360.0)	(34, 440.0)	(36, 542.0)	(38, 736.0)	(40, 1047.0)	(42, 1539.0)	(44, 1771.0)	(46, 2522.0)	(48, 3949.0)	(50, 5849.0)	(52, 6883.0)	(54, 7767.0)	(56, 10721.0)	(58, 13838.0)	(60, 18385.0)	(62, 21695.0)	(64, 25473.0)	(66, 32098.0)	(68, 39022.0)	(70, 48380.0)	(72, 59739.0)	(74, 69787.0)	(76, 80931.0)	(78, 93125.0)	(80, 111690.0)	(82, 135409.0)	(84, 155998.0)	(86, 183639.0)	(88, 204901.0)	(90, 236984.0)	(92, 266084.0)	(94, 295225.0)	(96, 337399.0)	(98, 343537.0)	(100, 28730445.0)
SRR9929282_1	(14, 23.0)	(16, 15.0)	(18, 52.0)	(20, 56.0)	(22, 39.0)	(24, 104.0)	(26, 194.0)	(28, 308.0)	(30, 587.0)	(32, 857.0)	(34, 1099.0)	(36, 1660.0)	(38, 2571.0)	(40, 3776.0)	(42, 4834.0)	(44, 6023.0)	(46, 8605.0)	(48, 12289.0)	(50, 17396.0)	(52, 20075.0)	(54, 21411.0)	(56, 28096.0)	(58, 35120.0)	(60, 43644.0)	(62, 49703.0)	(64, 55863.0)	(66, 67835.0)	(68, 77555.0)	(70, 90597.0)	(72, 107146.0)	(74, 120560.0)	(76, 133879.0)	(78, 149147.0)	(80, 172003.0)	(82, 201282.0)	(84, 224477.0)	(86, 257567.0)	(88, 275717.0)	(90, 309333.0)	(92, 330820.0)	(94, 348798.0)	(96, 378727.0)	(98, 396550.0)	(100, 25612082.0)
SRR9929282_2	(14, 23.0)	(16, 15.0)	(18, 50.0)	(20, 59.0)	(22, 37.0)	(24, 106.0)	(26, 195.0)	(28, 308.0)	(30, 584.0)	(32, 852.0)	(34, 1094.0)	(36, 1644.0)	(38, 2548.0)	(40, 3733.0)	(42, 4801.0)	(44, 5966.0)	(46, 8521.0)	(48, 12187.0)	(50, 17236.0)	(52, 19932.0)	(54, 21196.0)	(56, 27827.0)	(58, 34814.0)	(60, 43257.0)	(62, 49141.0)	(64, 55230.0)	(66, 67011.0)	(68, 76812.0)	(70, 89679.0)	(72, 106037.0)	(74, 119331.0)	(76, 132519.0)	(78, 147338.0)	(80, 169983.0)	(82, 199087.0)	(84, 221813.0)	(86, 254543.0)	(88, 272669.0)	(90, 305255.0)	(92, 327749.0)	(94, 354375.0)	(96, 385268.0)	(98, 396550.0)	(100, 25631100.0)
SRR9929283_1	(14, 6.0)	(16, 27.0)	(18, 28.0)	(20, 72.0)	(22, 39.0)	(24, 99.0)	(26, 254.0)	(28, 374.0)	(30, 644.0)	(32, 900.0)	(34, 990.0)	(36, 1264.0)	(38, 1863.0)	(40, 2676.0)	(42, 3576.0)	(44, 4244.0)	(46, 5829.0)	(48, 8649.0)	(50, 12038.0)	(52, 14578.0)	(54, 15657.0)	(56, 20987.0)	(58, 27227.0)	(60, 34724.0)	(62, 40435.0)	(64, 46293.0)	(66, 55446.0)	(68, 66848.0)	(70, 79035.0)	(72, 93133.0)	(74, 106284.0)	(76, 121054.0)	(78, 133972.0)	(80, 155718.0)	(82, 186805.0)	(84, 206421.0)	(86, 237648.0)	(88, 252688.0)	(90, 284599.0)	(92, 311807.0)	(94, 328511.0)	(96, 358400.0)	(98, 379025.0)	(100, 26679799.0)
SRR9929283_2	(14, 7.0)	(16, 28.0)	(18, 28.0)	(20, 71.0)	(22, 39.0)	(24, 102.0)	(26, 253.0)	(28, 369.0)	(30, 643.0)	(32, 898.0)	(34, 988.0)	(36, 1258.0)	(38, 1852.0)	(40, 2620.0)	(42, 3550.0)	(44, 4219.0)	(46, 5762.0)	(48, 8579.0)	(50, 11903.0)	(52, 14477.0)	(54, 15498.0)	(56, 20811.0)	(58, 26950.0)	(60, 34393.0)	(62, 39988.0)	(64, 45771.0)	(66, 54811.0)	(68, 66187.0)	(70, 78179.0)	(72, 92191.0)	(74, 105256.0)	(76, 119800.0)	(78, 132448.0)	(80, 153904.0)	(82, 184795.0)	(84, 203958.0)	(86, 234872.0)	(88, 249986.0)	(90, 280334.0)	(92, 309003.0)	(94, 334471.0)	(96, 369314.0)	(98, 379025.0)	(100, 26691075.0)
SRR9929284_1	(30, 268.0)	(32, 578.0)	(34, 643.0)	(36, 928.0)	(38, 1435.0)	(40, 2042.0)	(42, 2765.0)	(44, 3640.0)	(46, 4920.0)	(48, 7115.0)	(50, 10177.0)	(52, 11949.0)	(54, 13385.0)	(56, 19467.0)	(58, 22735.0)	(60, 29643.0)	(62, 35605.0)	(64, 40780.0)	(66, 51588.0)	(68, 56681.0)	(70, 67111.0)	(72, 80145.0)	(74, 91763.0)	(76, 106436.0)	(78, 117324.0)	(80, 139947.0)	(82, 169309.0)	(84, 187259.0)	(86, 219631.0)	(88, 239500.0)	(90, 266172.0)	(92, 280638.0)	(94, 317137.0)	(96, 315867.0)	(98, 371646.0)	(100, 23368723.0)								
SRR9929284_2	(14, 27.0)	(16, 28.0)	(18, 72.0)	(20, 73.0)	(22, 30.0)	(24, 70.0)	(26, 116.0)	(28, 218.0)	(30, 370.0)	(32, 578.0)	(34, 645.0)	(36, 936.0)	(38, 1440.0)	(40, 2045.0)	(42, 2769.0)	(44, 3644.0)	(46, 4929.0)	(48, 7126.0)	(50, 10202.0)	(52, 11973.0)	(54, 13416.0)	(56, 19499.0)	(58, 22783.0)	(60, 29688.0)	(62, 35659.0)	(64, 40831.0)	(66, 51675.0)	(68, 56761.0)	(70, 67201.0)	(72, 80273.0)	(74, 91926.0)	(76, 106618.0)	(78, 117479.0)	(80, 140181.0)	(82, 169582.0)	(84, 187624.0)	(86, 220015.0)	(88, 239920.0)	(90, 267113.0)	(92, 288416.0)	(94, 324219.0)	(96, 340355.0)	(98, 371646.0)	(100, 23324781.0)
SRR9929285_1	(14, 16.0)	(16, 39.0)	(18, 47.0)	(20, 81.0)	(22, 42.0)	(24, 99.0)	(26, 224.0)	(28, 322.0)	(30, 509.0)	(32, 644.0)	(34, 721.0)	(36, 1191.0)	(38, 1816.0)	(40, 2477.0)	(42, 3373.0)	(44, 4165.0)	(46, 5598.0)	(48, 7979.0)	(50, 11466.0)	(52, 13237.0)	(54, 14249.0)	(56, 19002.0)	(58, 23259.0)	(60, 29572.0)	(62, 33501.0)	(64, 37226.0)	(66, 45620.0)	(68, 52432.0)	(70, 62244.0)	(72, 73291.0)	(74, 83509.0)	(76, 92683.0)	(78, 103853.0)	(80, 122474.0)	(82, 147890.0)	(84, 165331.0)	(86, 194699.0)	(88, 211245.0)	(90, 242931.0)	(92, 260179.0)	(94, 280788.0)	(96, 305250.0)	(98, 326613.0)	(100, 22958551.0)
SRR9929285_2	(14, 16.0)	(16, 39.0)	(18, 49.0)	(20, 81.0)	(22, 40.0)	(24, 104.0)	(26, 216.0)	(28, 315.0)	(30, 507.0)	(32, 640.0)	(34, 718.0)	(36, 1181.0)	(38, 1797.0)	(40, 2454.0)	(42, 3340.0)	(44, 4123.0)	(46, 5519.0)	(48, 7908.0)	(50, 11362.0)	(52, 13131.0)	(54, 14125.0)	(56, 18832.0)	(58, 23052.0)	(60, 29268.0)	(62, 33114.0)	(64, 36746.0)	(66, 45103.0)	(68, 51939.0)	(70, 61635.0)	(72, 72589.0)	(74, 82743.0)	(76, 91738.0)	(78, 102679.0)	(80, 121061.0)	(82, 146350.0)	(84, 163219.0)	(86, 192298.0)	(88, 208912.0)	(90, 240148.0)	(92, 257845.0)	(94, 285313.0)	(96, 311112.0)	(98, 326613.0)	(100, 22970464.0)
SRR9929286_1	(14, 10.0)	(16, 11.0)	(18, 32.0)	(20, 35.0)	(22, 20.0)	(24, 26.0)	(26, 54.0)	(28, 91.0)	(30, 267.0)	(32, 477.0)	(34, 512.0)	(36, 852.0)	(38, 1239.0)	(40, 1730.0)	(42, 2331.0)	(44, 3044.0)	(46, 4217.0)	(48, 6288.0)	(50, 8574.0)	(52, 10545.0)	(54, 11714.0)	(56, 15105.0)	(58, 19566.0)	(60, 25523.0)	(62, 28948.0)	(64, 33838.0)	(66, 40887.0)	(68, 48422.0)	(70, 59267.0)	(72, 72621.0)	(74, 84190.0)	(76, 94511.0)	(78, 105869.0)	(80, 125927.0)	(82, 152642.0)	(84, 173900.0)	(86, 200502.0)	(88, 221381.0)	(90, 261809.0)	(92, 278840.0)	(94, 292555.0)	(96, 329188.0)	(98, 350172.0)	(100, 23599367.0)
SRR9929286_2	(14, 10.0)	(16, 12.0)	(18, 32.0)	(20, 36.0)	(22, 19.0)	(24, 27.0)	(26, 55.0)	(28, 93.0)	(30, 270.0)	(32, 475.0)	(34, 512.0)	(36, 849.0)	(38, 1234.0)	(40, 1718.0)	(42, 2310.0)	(44, 3020.0)	(46, 4155.0)	(48, 6232.0)	(50, 8476.0)	(52, 10442.0)	(54, 11574.0)	(56, 14947.0)	(58, 19323.0)	(60, 25221.0)	(62, 28567.0)	(64, 33399.0)	(66, 40307.0)	(68, 47847.0)	(70, 58497.0)	(72, 71709.0)	(74, 83152.0)	(76, 93284.0)	(78, 104354.0)	(80, 124046.0)	(82, 150561.0)	(84, 171165.0)	(86, 197379.0)	(88, 218160.0)	(90, 257311.0)	(92, 275081.0)	(94, 296610.0)	(96, 335372.0)	(98, 350172.0)	(100, 23619084.0)
