Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9929268_1	(1, 0.014484184599883147)	(2, 0.000543115272551404)	(3, 0.003331995537125177)	(4, 0.0)	(5, 0.0014527500541865776)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005875974129720251)	(14, 0.0)	(16, 8.16339464203756e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.000323206970181558)	(28, 0.0)	(30, 3.3320911852743158e-06)	(32, 0.0)	(34, 0.0005015028674717692)	(36, 0.0)	(38, 0.0)	(40, 9.998263301664502e-06)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.009788067232890362)	(54, 0.00597796881377161)	(56, 0.00039265730833415143)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 4.035867562198773e-05)	(68, 0.0)	(70, 1.6890990563527194e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0001945013778034004)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.00032602785819453746)	(90, 1.7884790187803173e-06)	(92, 0.0)	(94, 0.0)	(96, 1.8523437863377754e-06)	(98, 3.755636858834155e-06)	(100, 0.0)
SRR9929268_2	(1, 0.01942886597697691)	(2, 6.663991074250355e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0011728624290680625)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 3.3319955371251773e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0021426987730916824)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.667952708804067e-05)	(50, 0.0003486267201496753)	(52, 0.000717612719435122)	(54, 2.671657679432871e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 6.75530721845277e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 7.269548937815914e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929269_1	(1, 0.014542641273111733)	(2, 0.0005192521508498403)	(3, 0.003394834751763094)	(4, 0.0)	(5, 0.0015183649100712572)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005863968255286989)	(14, 0.0)	(16, 8.773577422613019e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00034915660327206294)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0004637925567275599)	(36, 0.0)	(38, 1.790902113391648e-06)	(40, 1.0746488526663767e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.00969613211887903)	(54, 0.005856329585467915)	(56, 0.0003826534255646658)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.242196908557178e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.00020515668282965503)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.000378904126286775)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 1.9728949097871116e-06)	(98, 3.99607234041805e-06)	(100, 0.0)
SRR9929269_2	(1, 0.019047601312898624)	(2, 3.5810493162057954e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0011996515209289414)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 3.5810493162057954e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0021453541165737076)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 1.7925424640761944e-05)	(50, 0.0003819687645670423)	(52, 0.0007786913585749188)	(54, 3.590553268712231e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 1.810857492269857e-06)	(70, 7.259357779498931e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 8.535013380210595e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929270_1	(1, 0.015161268501056282)	(2, 0.02930460458765443)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0003877837769364306)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0003743190624594712)	(12, 0.0009452229562825496)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929270_2	(1, 0.001868902369401964)	(2, 2.154354316313503e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 1.3464714476959396e-05)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 5.387539741186901e-06)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 1.8959285286947294e-05)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929271_1	(1, 0.014071850739229421)	(2, 0.0004985141356433584)	(3, 0.003341763723071341)	(4, 3.438028521678334e-06)	(5, 0.0015677410058853205)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005891061871895825)	(14, 0.0)	(16, 7.735565503530994e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00033177041391092377)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0004521127970200575)	(36, 0.0)	(38, 1.719099044258291e-06)	(40, 1.0314753322330471e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.009743271167273807)	(54, 0.005926415417953224)	(56, 0.0003784060457177112)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.169083833648958e-05)	(68, 0.0)	(70, 1.7257131203155623e-06)	(72, 0.0)	(74, 0.0)	(76, 0.00020103203260004763)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0003540861013822512)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 3.6547267110489373e-06)	(98, 3.693544199987837e-06)	(100, 0.0)
SRR9929271_2	(1, 0.01938360480522245)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0010932930698937101)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 3.438028521678334e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0021385336604166703)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.4070647763826507e-05)	(50, 0.0003645214128733041)	(52, 0.0007978920929013965)	(54, 3.267589939682182e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 7.331877303966069e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929272_1	(1, 0.014296822336065926)	(2, 0.0005126350638430013)	(3, 0.003343854860884413)	(4, 3.3505559728300738e-06)	(5, 0.0015546579713931542)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005831642670710743)	(14, 0.0)	(16, 7.203699565454415e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00030992891453663273)	(28, 0.0)	(30, 1.6753093923691366e-06)	(32, 0.0)	(34, 0.0004691002571624363)	(36, 0.0)	(38, 0.0)	(40, 1.3403868286017036e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.009871536383151235)	(54, 0.006020161485589999)	(56, 0.0003272216056472207)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.058530826948217e-05)	(68, 0.0)	(70, 1.6925597274708032e-06)	(72, 0.0)	(74, 0.0)	(76, 0.00018446389088591926)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.00034935288319161136)	(90, 1.79062667815294e-06)	(92, 0.0)	(94, 0.0)	(96, 5.576746987562107e-06)	(98, 1.8869236474271843e-06)	(100, 0.0)
SRR9929272_2	(1, 0.01963760855675706)	(2, 6.7011119456601475e-06)	(3, 0.0)	(4, 0.0)	(5, 0.001236355153974297)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 8.376389932075184e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.002223237915994076)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 3.0168482932247824e-05)	(50, 0.0003654451188601867)	(52, 0.0007763604123261886)	(54, 3.186962518771209e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 3.3843387591785592e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 7.444388126782638e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
