"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0075",406.45093861012,0.60357861635374,0.194473356710074,3.10365711048826,0.00191144717736671,0.00477016671598897
"Q0115",19.9886039326158,1.03581199957354,0.432301238809498,2.39604217287472,0.0165731833263346,0.03352338204152
"Q0140",27.988818580447,0.834201668272777,0.360506066276192,2.31397401128245,0.0206691477548697,0.0408661096792138
"Q0250",4048.6858872062,0.602035491954732,0.165859166204998,3.62979933958326,0.000283641630347287,0.000839926013952665
"YAL005C",168628.607329662,3.03952169826146,0.146888408333699,20.6927267627295,4.02778997474955e-95,6.88010124371035e-93
"YAL008W",876.422365709864,0.940186066839154,0.104368353440188,9.00834434815495,2.09190625229799e-19,2.92012117928307e-18
"YAL016C-B",7.89307967330109,1.42050171573437,0.629526919948878,2.2564590499954,0.0240418971065109,0.0466256211886354
"YAL017W",3330.02651571683,0.696972063442363,0.101627387493505,6.8581125681983,6.97762694185308e-12,5.66147205994604e-11
"YAL018C",13.3726005259522,2.03197969717504,0.631088113797225,3.2198034676152,0.00128278507516411,0.00333195595153671
"YAL028W",265.115704359462,0.626530334519267,0.163390108198868,3.8345671070656,0.000125785628261227,0.00040062537440806
"YAL033W",644.435639487224,-0.719931989313928,0.101057726760065,-7.12396777955649,1.04863567720737e-12,9.2356773144546e-12
"YAL034W-A",183.807121323284,-0.645677216980479,0.146265570375008,-4.41441697677066,1.01282575374012e-05,3.90127555039486e-05
"YAL039C",1307.78424094794,0.693500885029239,0.17331466272806,4.0013976550696,6.29694305715994e-05,0.000212882590541798
"YAL040C",1416.8541923808,0.633708486282895,0.196850893608898,3.21923093497327,0.00128534924050072,0.00333728076803607
"YAL042C-A",536.196066994764,-0.646072378991631,0.108510193764883,-5.95402474712674,2.61627216145904e-09,1.64238129594106e-08
"YAL044C",3663.90695487554,0.63770203368697,0.111050315470006,5.74246035221041,9.33107311779372e-09,5.47136365018962e-08
"YAL053W",6344.50714018566,1.25947086912162,0.162997430647359,7.72693694691701,1.10165177623091e-14,1.13685559292764e-13
"YAL054C",716.210792535038,0.663518583204277,0.092765798647077,7.15262082449806,8.51365364236823e-13,7.508441004431e-12
"YAL060W",2831.96520706412,1.5771075290274,0.13044456440334,12.0902510291722,1.18922804720525e-33,3.37086430323549e-32
"YAL062W",673.154859560972,0.64632889125943,0.116444086131064,5.55055145120855,2.84769883167552e-08,1.55986608577264e-07
"YAL063C-A",24.4868525383502,1.04162890295144,0.353914321514988,2.94316686166466,0.00324873262803719,0.007747069613736
"YAL064C-A",41.5592157120272,0.796248169651624,0.327506602771303,2.43124310445625,0.0150471146767988,0.0306947898702392
"YAL064W-B",34.9292612041235,1.12126937184478,0.265447554997285,4.22407119875807,2.39928196438144e-05,8.7492917026966e-05
"YAL065C",48.3815710822244,0.800576904920591,0.2084851396321,3.83997107099967,0.000123048809139641,0.000392872513588493
"YAL067C",159.528004310239,1.77337869770144,0.2493718101537,7.1113839876625,1.14885009218464e-12,1.00909146797977e-11
"YAR008W",437.314314293004,-1.12171923957434,0.123814133955542,-9.05970266671745,1.30806631066951e-19,1.84579530925126e-18
