"","Acetate","Fructose","Galactose","Gluconate","Glucose","Glycerol","Pyruvate","Succinate"
"b0018",9.46473077281284,9.10372990636905,9.57702948347663,9.16900201511347,10.1021171046129,10.2832174100742,9.78353780503136,10.0711783192249
"b0242",11.433606763093,11.9793158588873,11.7177118857424,11.6192934301755,11.3327592971606,11.134375324498,11.14829735479,11.3838491689544
"b1619",11.21507650277,11.5708185888074,11.9532648344031,11.7398192145566,12.2522416383451,13.2114513437332,11.2755544859248,12.5387150297973
"b1243",15.0439887919087,15.106697358516,15.3576373872021,15.9349714295579,15.3220641471337,15.1154200379058,15.71988967335,15.2978788795033
"b3786",12.051929705552,12.4125467324476,11.950253492208,12.5010775506297,11.2285389779047,11.8262436720868,12.4336636098426,12.5114016075931
"b4036",14.6216223513056,12.1912313309148,14.9991557665909,10.238982006655,14.7238925780167,15.4101430016283,14.6902990821337,14.2058365356725
"b1465",7.09786080503132,8.17743808540496,8.2443896448612,7.54416066090086,8.59672018784419,8.28065664043945,7.68130328513476,8.26914190291788
"b0704",7.1213957176131,8.20256548301509,8.38001591026336,7.89784431452537,8.94767137342201,8.0327426716566,8.02672656358814,7.8058511482006
"b2679",12.3720146409668,11.8925551442077,11.5703513598581,11.0341257721192,11.4288463852519,13.0218813818974,11.7820446465462,12.4485886124381
"b3659",5.70282161518059,5.19971617979188,5.57166865424034,4.48436348479593,6.24643651126472,6.88696476792532,6.14044068275902,6.54514949811161
"b0059",10.1101170994247,10.6956968391315,10.1428937841379,10.1853969753802,10.0363785004028,9.78486505339811,9.71984254174445,9.77608602349925
"b2105",10.004226574802,10.7850146147563,10.7866984388942,10.0813805475946,10.771583868845,10.53045520468,10.2249738438716,10.6437019494184
"b4161",12.4359341391827,12.8515306551028,12.6852761565363,12.6121475978247,12.2915434505518,12.3532740412882,12.5419416318979,12.6536114570672
"b1251",11.0685712225393,11.3492521483647,11.57029816856,10.6662698355978,11.0264865249655,10.9343548858789,11.1877379734852,11.1901725073254
"b2924",11.0636031317396,12.7176698164865,11.2882929557941,11.9272929102597,10.7529326578768,10.5232583271684,10.7663176271101,11.383919639282
"b0276",8.1081053394591,8.09199252070177,8.38498307953446,7.49883530591773,8.90005031438886,8.32959284334934,8.00166690709892,8.5476327880347
"b1868",7.76886686285379,8.38546982475556,8.20225167896166,7.68169820417983,7.7369704780536,7.66232759850029,7.88934347572173,8.05449323647818
"b1175",12.0788358949183,12.0904234289411,12.2437459084526,12.0164831809297,12.0355398159731,12.4731653770309,12.5838906124516,13.1171165713602
"b2862",6.71178409551951,7.84960074759073,7.43727154209036,6.45439462340517,7.53469506739119,7.17577128055791,7.15934038037772,6.88284790131684
"b3389",11.1559590217088,11.8701736688289,11.2627685022361,11.2243066430672,10.9140998195068,10.6635615225368,10.9573739438747,10.9738695485356
"b0322",10.2890954198197,10.7116331196287,10.659411166353,10.9734666823119,10.8340709911176,10.7729100582982,11.2580782651572,10.7349247745601
"b3392",6.93856537321919,6.81512846492211,7.06425396301208,6.11479879593787,7.88380998101636,7.47594807329432,7.2304983901977,7.61498181759452
"b1656",13.2295079325231,12.7105452977177,12.8576897237543,13.044840250162,12.6114335214212,12.9260128245301,11.9423855372987,12.8244997102689
"b3951",6.7452508516921,7.15997836579477,7.22701834645494,6.52406837709102,7.57022049251253,7.58121126072786,7.23404134983387,7.48073189721375
"b2197",10.733593092233,11.4668331769307,11.4803551190043,11.3210520977835,12.3053409816229,11.1829493642081,10.727995052528,11.5260126728726
"b3251",13.8156489019098,14.0787830856961,13.767833308928,13.3587727879362,13.2421050695061,12.9915342318979,13.5178465309727,13.6862805491002
"b0395",9.03423959400246,9.28811859883774,9.68178487081234,9.14630821368585,10.0485637210749,10.4528490762647,9.53372818419337,9.81433923875638
"b4358",6.22195602321912,7.43406350811339,7.13449253386806,5.71497410280308,7.42174954111992,8.10459483948347,7.42061954143515,7.24997572726686
"b1646",11.4269780751877,11.7177300587291,12.2403016554125,11.624234930732,12.8079271497253,13.2361944689927,11.8148189184542,11.8146350402805
"b2342",11.0547386721623,9.90636816820824,10.7387419508219,9.68006810887828,11.4413021392086,12.1055576181468,11.0564008406667,11.2855911710369
"b0515",11.725733272087,12.6711820964651,12.7124431141764,11.5347581166291,15.0156327209197,12.8313752716004,13.334274763045,13.1983883786627
"b3033",11.9600830590645,11.8869913806607,11.9991763128078,11.1814093823436,12.5201586007633,11.9296148675828,11.8746332236645,11.7769185708073
"b0122",10.0968185804447,10.6802965122139,10.4600002125295,10.2604377315281,10.3623611357907,10.6690507130229,10.8673344854309,10.5155939283938
