Gene_id,Condition_1,Condition_2,Condition_3,Condition_4,Condition_5,Condition_6
YPL271W,0.316088758194478,1.0,0.31257580683660496,0.31612216417117045,1.0,0.31244504970855924
YMR323W,0.0,1.0,0.13249995414042282,0.0,1.0,0.1253808892314082
YNL141W,1.0,0.0,1.0,1.0,0.00023488554620063252,1.0
YOR270C,1.0,1.0,0.0,1.0,0.0,0.0
YMR289W,0.0,1.0,1.0,0.0,0.0,1.0
YBR085W,1.0,0.0,1.0,1.0,0.0,1.0
YNR033W,0.0,0.0,0.0,0.0,0.0,0.0
YJR153W,0.0,0.0,1.0,0.0,0.0,1.0
YMR056C,0.0,1.0,1.0,0.0,1.0,1.0
YCR048W,9.918115692141993e-05,0.0,1.0,9.918115692141993e-05,0.0,1.0
YER056C,0.0,1.0,0.0,0.0,0.0,0.0
YBL030C,1.0,1.0,0.0,1.0,0.0,0.0
YER060W,1.0,1.0,1.0,1.0,0.0,1.0
YGL186C,0.0,1.0,0.0,1.0,0.0,0.0
YDL141W,1.0,0.0,0.0,1.0,0.0,0.0
YKL140W,1.0,1.0,0.0,1.0,1.0,0.0
YOL064C,1.0,0.0,0.0,1.0,0.0,0.0
YLL012W,0.0,0.0,0.0,0.0,1.0,0.0
YIL124W,0.0,1.0,0.0,0.0,1.0,0.0
YAL060W,0.07348662603354532,1.0,0.03561238349170125,0.06919991116897893,1.0,0.022506742451874968
YDR226W,1.0,0.0001499539542969611,1.0,1.0,0.00014804557483261377,1.0
YLR020C,1.0,0.0,1.0,1.0,0.0,1.0
YGR065C,0.0,0.0,0.0,0.0,0.0,0.0
YIL013C,0.0,1.0,1.0,0.0,1.0,1.0
YER170W,1.0,0.0,1.0,1.0,1.0,1.0
YGR286C,1.0,0.0,1.0,1.0,0.0,1.0
YNL280C,1.0,0.000743858676909491,0.000743858676909491,1.0,0.000743858676909491,0.000743858676909491
YOL052C,1.0,0.0,1.0,1.0,0.0,1.0
YOR011W,0.0,0.0,0.0,0.0,0.0,0.0
YHR042W,1.0,1.0,1.0,1.0,7.438586769094911e-05,1.0
YBR184W,1.0,0.0,1.0,1.0,0.0,1.0
YJL005W,0.0,1.0,1.0,0.0,0.0,1.0
YMR015C,1.0,1.0,0.0,1.0,1.0,0.0
YNL111C,1.0,0.0,1.0,1.0,0.0,1.0
YJR105W,1.0,0.0002982902335185947,1.0,1.0,0.0,1.0
YNR019W,0.0,1.0,0.0,0.0,1.0,0.0
YKL150W,0.0,1.0,0.0,0.0,0.0,0.0
YIL043C,1.0,0.0,1.0,1.0,0.0,1.0
YLR189C,1.0,0.0,1.0,1.0,0.0,1.0
YDR400W,1.0,0.0,1.0,1.0,0.0,1.0
YGL012W,1.0,1.0,0.00023668230628859366,1.0,1.0,0.00023668230628859366
YAL022C,1.0,1.0,0.0,1.0,1.0,0.0
YGL001C,1.0,1.0,0.000743858676909491,1.0,0.000743858676909491,0.000743858676909491
YDR441C,0.0,0.0,0.0,0.0,0.0,0.0
YDR147W,1.0,0.0,1.0,1.0,0.0,1.0
YLR100W,1.0,0.000743858676909491,1.0,1.0,0.000743858676909491,1.0
YKL188C,0.0,1.0,1.0,0.0,1.0,1.0
YPL147W,0.0,0.0,1.0,0.0,0.0,1.0
YGR060W,1.0,1.0,1.0,1.0,1.0,0.000743858676909491
YML022W,1.0,0.0,0.0,1.0,0.0,0.0
YLR056W,1.0,0.0,0.0,1.0,1.0,0.0
YKL001C,0.0,1.0,0.0,0.0,1.0,0.0
YBR041W,1.0,1.0,0.0,1.0,0.0,0.0
YLR359W,1.0,1.0,0.0,1.0,1.0,0.0
YMR202W,1.0,0.0,1.0,1.0,0.0,1.0
YER015W,0.0,1.0,1.0,0.0,0.0,1.0
YGR088W,0.0,1.0,0.0,0.0,1.0,0.0
YNL220W,1.0,1.0,0.0,1.0,1.0,0.0
YDR256C,0.0,0.0,0.0,0.0,0.0,0.0
YIL009W,1.0,1.0,0.0,1.0,1.0,0.0
YDL052C,1.0,1.0,0.0,1.0,1.0,0.0
YOR303W,0.0,1.0,1.0,0.0,1.0,1.0
YOR317W,0.0,1.0,0.0,0.0,0.0,0.0
YJR109C,1.0,1.0,0.0,1.0,0.0,0.0
YKR066C,0.0,1.0,0.0,0.0,0.0,0.0
YMR246W,1.0,0.0,1.0,1.0,0.0,1.0
YJR048W,1.0,0.0,1.0,1.0,0.0,1.0
YEL039C,0.0,1.0,0.0,0.0,1.0,0.0
YIL134W,0.0,1.0,1.0,0.0,1.0,1.0
YCL004W,0.0,1.0,1.0,0.0,1.0,1.0
YNL202W,0.0,1.0,1.0,0.0,1.0,1.0
UNKNOWN,1.0,1.0,1.0,1.0,1.0,1.0
YPL087W,0.0,1.0,1.0,0.0,1.0,1.0
YFL030W,0.0,1.0,1.0,0.0,1.0,1.0
YBR183W,0.0,1.0,0.0,0.0,1.0,0.0
YOR180C,0.0,0.0,1.0,0.0,0.0,1.0
YDR297W,1.0,0.0,1.0,1.0,0.0,1.0
YER043C,1.0,0.00022991995468143133,0.00022991995468143135,1.0,0.00022991995468143135,0.00022991995468143135
YKL008C,1.0,1.0,1.0,1.0,0.0,0.0
YLR303W,1.0,1.0,1.0,1.0,1.0,1.0
YLR284C,0.0,1.0,1.0,0.0,1.0,1.0
YHL003C,1.0,0.0,0.0,1.0,0.0,0.0
YGR037C,1.0,0.002782224661741493,0.0031686447533750043,1.0,0.0027822246617414666,0.0031686447533750043
YJL196C,1.0,1.0,0.0,1.0,0.009467292251759126,0.0
YMR120C,0.0,1.0,0.0,0.0,1.0,0.0
YMR272C,1.0,1.0,0.0,1.0,0.0,0.0
YLR028C,0.0,1.0,0.0,0.0,0.0,0.0
YGR202C,1.9225564619584016e-06,1.9225564619584016e-06,1.9225564619584016e-06,1.9225564619584016e-06,1.9225564619584016e-06,1.9225564619584016e-06
YOR128C,0.0,1.0,0.0,0.0,1.0,0.0
YLR372W,1.0,0.0,1.0,1.0,0.0,1.0
YGL077C,0.0,0.0,0.0,0.0,0.0,0.0
YDL015C,1.0,1.0,0.0,1.0,0.0,0.0
YDR148C,1.0,1.0,0.03935502791645367,1.0,1.0,0.03935502791645367
YLR133W,1.818181818181818e-06,1.0,1.0,1.8429488709596566e-06,1.0,1.0
YIL125W,1.0,1.0,0.039355027916453664,1.0,0.04886467579427101,0.03935502791645367
YPR060C,1.0,0.0,0.0,1.0,0.0,0.0
YFL018C,1.0,1.0,0.02230711708705549,1.0,1.0,0.022052155398209764
YKL060C,1.0,1.0,0.02161244305092663,1.0,1.0,0.02048322340169403
YGL148W,1.0,0.0,1.0,1.0,0.0,1.0
YLR377C,0.0,1.0,1.0,0.0,1.0,1.0
YDR481C,0.0,1.0,1.0,0.0,1.0,1.0
YLR307W,0.0,1.0,1.0,0.0,1.0,1.0
YDR232W,0.0,0.0,0.0,0.0,0.0,0.0
YLR308W,0.0,1.0,1.0,0.0,1.0,1.0
YJL155C,0.0,1.0,1.0,0.0,1.0,1.0
YBR038W,1.0,0.0,1.0,1.0,0.0,1.0
YNL192W,0.0,0.0,0.0,0.0,0.0,0.0
YOR176W,1.0,0.0,0.0,1.0,0.0,0.0
YOR388C,0.0,1.0,1.0,0.0,1.0,1.0
YDR111C,1.0,0.0,1.0,1.0,0.0,1.0
YBR023C,1.0,1.0,0.0,1.0,0.0,0.0
YBR291C,0.002408075618368743,0.002408075618368743,1.0,0.0024080756183687425,0.0024080756183687425,1.0
YLR089C,0.0009370206925838875,1.0,0.00011385060975099837,0.0009624382635511589,1.0,0.0003511838608018558
YDL142C,0.0,0.0,0.0,0.0,0.0,0.0
YPL276W,1.0,1.0,1.0,0.0,1.0,1.0
YLR151C,0.0,0.0,1.0,0.0,0.0,1.0
YPL275W,0.0,0.0,0.0,0.0,0.0,0.0
YOR335C,1.0,0.0,0.0,1.0,0.0,0.0
YHR002W,0.00018992136431731697,0.00018992136431731697,0.0001899213643173169,0.00018992136431731697,0.00018992136431731697,0.00018992136431731697
YMR319C,1.0,0.0,1.0,1.0,0.0,1.0
YDR044W,1.0,0.0,1.0,1.0,0.0,1.0
YPL265W,0.0,1.0,0.0,0.0,1.0,0.0
YOR100C,0.0,1.0,1.0,0.0,1.0,1.0
YJL060W,0.0,1.0,0.0,0.0,1.0,0.0
YBR132C,0.0,1.0,0.0,0.0,1.0,0.0
YBL013W,0.0,0.0,0.0,0.0,0.0,0.0
YCL025C,0.0,1.0,0.0,0.0,1.0,0.0
YML042W,0.0,1.0,1.0,0.0,1.0,1.0
YKR039W,0.00896771010016612,0.00896771010016612,0.00896771010016612,0.00896771010016612,0.00896771010016612,0.00896771010016612
YDL045C,0.0,0.0,0.0,0.0,0.0,0.0
YAR035W,0.0,1.0,1.0,0.0,0.0,1.0
YOL020W,0.0,1.0,0.0,0.0,1.0,0.0
YER024W,0.0,1.0,1.0,0.0,1.0,1.0
YLR011W,0.0,0.0,1.0,0.0,1.0,1.0
YEL047C,1.0,1.0,2.528014269461376e-07,1.0,0.0,2.528014269461376e-07
YPR062W,1.0,0.0,1.0,1.0,0.0008717730386576069,1.0
YJR051W,1.0,1.0,0.0,1.0,1.0,0.0
YNR001C,0.0,1.0,0.0,0.0,1.0,0.0
YPR001W,0.015990467002344976,1.0,1.0,0.015737765983600854,1.0,1.0
YOR120W,0.0,1.0,6.097560975609757e-07,0.0,1.0,6.097560975609757e-07
YCR005C,0.0,1.0,1.0,0.0,1.0,1.0
YPL069C,0.0,0.0,0.0,0.0,0.0,0.0
YEL069C,0.0,1.0,1.0,0.0,1.0,1.0
YBL039C,1.0,0.0,1.0,1.0,0.0,1.0
YDR342C,0.0,1.0,1.0,0.0,1.0,1.0
YLL043W,1.0,0.0,0.0,1.0,0.0,0.0
YJR103W,0.0,1.0,1.0,0.0,1.0,1.0
YPL189W,0.0,0.0,1.0,0.0,0.0,1.0
YBR192W,8.25006896209993e-05,8.25006896209993e-05,8.25006896209993e-05,8.25006896209993e-05,8.25006896209993e-05,8.25006896209993e-05
YGL084C,1.0,1.0,0.0,1.0,1.0,0.0
YOL156W,0.0,1.0,0.0,0.0,1.0,0.0
YHR096C,0.0,1.0,0.0,0.0,1.0,0.0
YHR051W,1.0,1.0,0.9749412156411713,1.0,1.0,0.9749412156411713
YMR256C,0.9968588876780852,0.9968588876779235,0.9968588876779235,0.9968588876779235,0.9968588876779235,0.9968588876779235
YNR072W,0.0,1.0,1.0,0.0,1.0,1.0
YJR158W,1.0,1.0,1.0,1.0,1.0,1.0
YHL032C,0.0,0.0,0.0,0.0,0.0,0.0
YDL067C,1.0,1.0,1.0,1.0,1.0,1.0
YDR272W,1.333889419171745e-06,1.0,1.2195121951219514e-06,1.3947174490123242e-06,1.0,1.2195121951219514e-06
YDR345C,1.0,0.0,0.0,1.0,0.0,0.0
YGL187C,1.0,1.0,1.0,1.0,1.0,1.0
YOR040W,0.0,0.0,0.0,0.0,1.0,0.0
YLR038C,0.9968588876779235,0.9968588876779235,0.9968588876779235,0.9968588876779235,0.9968588876779235,0.9968588876779235
YFL011W,0.0,1.0,1.0,0.0,1.0,1.0
YHR092C,0.0,0.0,1.0,0.0,0.0,1.0
YGL191W,0.9968588876780852,0.9968588876779235,0.9968588876779235,0.9968588876779235,0.9968588876779235,0.9968588876779235
YHR094C,1.0,1.0,0.0,1.0,1.0,0.0
YPR081C,0.0,1.0,0.0,0.0,1.0,0.0
YIL111W,0.0,1.0,0.0,0.0,1.0,0.0
YBR121C,1.0,0.0,1.0,1.0,0.0,1.0
YJL219W,0.0,1.0,1.0,0.0,1.0,1.0
Q0275,0.9968588876780852,1.0,1.0,0.9968588876780851,1.0,1.0
YDL245C,0.0,0.0,1.0,0.0,0.0,1.0
YMR217W,1.0,0.0,1.0,1.0,0.0,1.0
YNL052W,1.0,0.0,0.9749412156411713,1.0,1.0,0.9749412156411713
YJL214W,0.0,0.0,1.0,0.0,1.0,1.0
Q0045,1.0,1.0,1.0,1.0,1.0,1.0
YDR343C,0.0,1.0,1.0,0.0,1.0,1.0
YMR011W,0.0,0.0,0.0,0.0,0.0,0.0
YLR395C,1.0,1.0,0.9749412156411713,1.0,1.0,0.9749412156411713
Q0250,0.9968588876780852,0.9968588876779235,1.0,0.9968588876780852,0.9574718136476429,1.0
YER183C,0.0,0.0,0.0,0.0,0.0,0.0
YBL045C,1.0,1.0,0.9359355566435132,1.0,0.9191646245272653,0.9359351322993261
YGR204W,1.0,1.0,0.00034346646068414297,1.0,4.5014623795850674e-05,0.00034346646068414297
YDR529C,1.0,1.0,1.0,1.0,1.0,1.0
YHR183W,1.0,1.0,0.006105445451824033,1.0,1.0,0.006105445451824033
YEL024W,0.9569805321709617,1.0,0.9359355566435132,0.9569805321709617,0.9191646245272653,0.9359351322993261
YGR256W,0.0,1.0,0.0,0.0,1.0,0.0
YBR084W,1.0,0.0,1.0,1.0,0.0,1.0
YPR191W,0.9569805321709618,1.0,0.9359355566435132,0.9569804997250999,1.0,0.9359351322993261
YPL262W,0.002520390993000529,1.0,0.0019285227686197028,0.002586255756501086,0.002432589864231339,0.0019062793331777823
YPL110C,6.25e-06,1.0,1.0,6.3351367439238196e-06,1.0,1.0
YGR183C,0.9569805321709617,0.9569805321709617,0.9569805321709617,0.9569805321709617,0.9569805321709617,0.9569805321709617
YDR513W,0.0,1.0,0.0,0.0,1.0,0.0
YBR205W,1.0,0.0,1.0,1.0,0.0,1.0
YJL166W,0.9569805321709617,1.0,0.9359355566435132,0.9569804997250999,1.0,0.9359351322993261
YJL139C,0.0,1.0,1.0,0.0,1.0,1.0
Q0105,1.0,1.0,0.9359355566435132,1.0,0.9191646245272653,0.9359355566435132
YFR033C,0.9569805321709617,0.9569805321709617,0.9569805321709617,0.9569805321709617,0.9569805321709617,0.9569805321709617
YPL053C,1.0,1.0,0.0,1.0,1.0,0.0
YDR098C,1.0,0.0,0.0,1.0,0.0,0.0
YER174C,1.0,0.0,0.0,1.0,0.0,0.0
YOR065W,1.0,1.0,0.9359355566435132,0.9569804997250999,0.9191646245272653,0.9359355566435132
YPL091W,1.0,1.0,0.0,1.0,0.0,0.0
YDR483W,1.0,0.0,0.0,1.0,0.0,0.0
YOR099W,1.0,0.0,1.0,1.0,0.0,1.0
YKR061W,0.0,1.0,1.0,0.0,1.0,1.0
YGR012W,0.0,0.0,1.0,0.0,1.0,1.0
YCL035C,0.0,1.0,0.0,0.0,1.0,0.0
YAL012W,1.0,1.0,0.0002873999433517892,1.0,1.0,0.0002873999433517892
YPL059W,1.0,1.0,0.0,1.0,1.0,0.0
YBR199W,1.0,1.0,0.0,1.0,1.0,0.0
YLR438W,0.0,1.0,0.0,0.0,0.0,0.0
YNL029C,0.0,0.0,1.0,0.0,0.0,1.0
YCR098C,0.0,1.0,1.0,0.0,1.0,0.0
YBR244W,1.0,0.0,0.0,1.0,0.0,0.0
YIR037W,0.0,1.0,0.0,0.0,1.0,0.0
YOR130C,0.0,0.0,1.0,0.0,0.0,1.0
YKL026C,0.0,1.0,0.0,0.0,1.0,0.0
YDL022W,8.895344455276661e-05,1.0,8.890480673431924e-05,8.893399299297749e-05,8.893920676888493e-05,8.890480673431924e-05
YMR271C,0.0,1.0,0.0,0.0,1.0,0.0
YML106W,1.0,0.0,1.0,1.0,0.0,1.0
YOL059W,1.0,1.0,0.0,1.0,0.0,0.0
YDR135C,1.0,0.0,0.0,1.0,0.0,0.0
YOR222W,1.0,0.0,1.0,1.0,1.0,1.0
YIL155C,0.0,1.0,0.0,0.0,1.0,0.0
YPL134C,0.0,1.0,1.0,0.0,0.0,1.0
YJL212C,1.0,1.0,0.0,1.0,0.0,0.0
YIL145C,1.0,0.0,0.0,1.0,0.0,0.0
YIL053W,6.658082276215169e-07,1.0,0.0,6.658082276215169e-07,1.0,0.0
YOL049W,1.0,0.0,0.0,1.0,0.0,0.0
YLR043C,1.0,0.0,5.5202870271548786e-05,1.0,2.760143513583115e-05,5.5202870271548786e-05
YER062C,0.0,1.0,6.097560975609756e-07,0.0,1.0,6.097560975609756e-07
YOR323C,1.0,0.0,0.0,1.0,0.0,0.0
YPR167C,0.0,1.0,1.0,0.0,1.0,1.0
YLR299W,0.0,1.0,1.0,0.0,1.0,1.0
YGR209C,0.0,1.0,0.0,0.0,1.0,0.0
YGR267C,1.0,0.0,0.0,1.0,0.0,0.0
YNL241C,0.0,1.0,0.006081529818087494,2.496579913260087e-05,1.0,0.004967930793107324
YGL062W,0.0,1.0,0.0,0.0,1.0,0.0
YBR196C,1.0,1.0,0.018910821515693368,1.0,1.0,0.018089351999352857
YBR218C,1.0,1.0,0.0,1.0,0.0,0.0
YBR020W,0.0,1.0,1.0,0.0,1.0,1.0
YBL033C,0.0,1.0,0.0,0.0,1.0,0.0
YNR008W,4.463152061463897e-05,4.463152061463897e-05,4.463152061463897e-05,4.463152061463897e-05,4.463152061463897e-05,4.463152061463897e-05
YDL198C,1.0,0.0,0.0,1.0,0.0,0.0
YBR018C,0.0,1.0,1.0,0.0,0.0,1.0
YGL248W,0.0,1.0,1.0,0.0,1.0,1.0
YKL035W,0.0,1.0,0.0,0.0,1.0,0.0
YDL238C,0.0,1.0,1.0,0.0,1.0,1.0
YOR360C,0.0,1.0,0.0,0.0,1.0,0.0
YDR399W,0.0,0.0,0.0,0.0,0.0,0.0
YHL012W,0.0143163535134959,0.0143163535134959,0.0143163535134959,0.0143163535134959,0.0143163535134959,0.0143163535134959
YNL071W,1.0,1.0,0.00036465077815319347,1.0,0.013993809361623092,0.00036465077815319347
YLL052C,0.06666754359008426,0.0,1.0,0.06666754359008426,0.0,1.0
