Reaction_id,Condition1,Condition2,Condition3,Condition4,Condition5,Condition6
13BGH,0.0,0.0,0.0,0.0,0.0,0.0
13GS,0.7673916605074591,0.7673916605074591,0.7673916605074591,0.7673916605074591,0.7673916605074591,0.7673916605074591
2DDA7Ptm@CITtbm@DDPAm@E4Ptm,0.0,0.0,0.0,0.0,0.0,0.0
2DHPtm@DPRm@PANTtm,0.0,0.0,0.0,0.0,0.0,0.0
2HBO@2HBt2,0.0,0.0,0.0,0.0,0.0,0.0
2MBACt@OHACT3,0.0,0.0,0.0,0.0,0.0,0.0
2MBALDt,0.0,0.0,0.0,0.0,0.0,0.0
2MBALDtm@2MBTOHtm@ALCD22xim,0.0,0.0,0.0,0.0,0.0,0.0
2MBTOHt,1.2218773550159072,0.0,0.0,1.476945306271831,0.0,0.0
2MPPALt,0.0,0.0,0.0,0.0,0.0,0.0
ACALDCD,6.172876586817807,6.91800739422007,0.0,5.8127925381942305,6.986233507674266,1.8905663659574974
ACALDt,0.0,0.0,0.0,0.0,0.0,0.0
ACALDtm,0.0,0.0,0.0,0.0,0.0,0.0
ACCOAC,0.26887109992663116,0.26887109994996267,0.26887109994996417,0.26887109992662583,0.26887109994995995,0.26887109992662717
AGAT_SC,0.016803008471156025,0.016808749078193894,0.01680300847278597,0.016804370659045154,0.016808578678114115,0.01680300847114296
AGPRim@ACGKm@ACOTAim@ORNTACim@ORNt3m,0.0,0.0,0.0,0.0,0.0,0.0
AGTi,0.0,0.0,0.0,0.0,0.00019999999999997797,0.00019999999999997797
2MPPALtm@ALCD23xim@IBUTOHtm,0.0,0.0,0.0,0.0,0.006648003858812757,0.0
ACESt,0.0,0.0,0.0,0.0,0.0,0.0
AHCi,0.012645597507478734,0.012645597507478762,0.01264559750747879,0.012645597507478692,0.012645597507478724,0.012645597507478734
AHSERL2,0.0,0.0,0.0,0.0,0.0,0.0
2OBUTtm,1.2590701569345457,0.0,0.0,1.494848033340336,0.0,0.0
2OXOADPtim@AATA@HCITSm@HACNHm@HICITDm@MCITDm@OXAGm@SACCD1@SACCD2,0.0,0.0,0.0,0.0,0.0,0.0
ACHBSm@DHAD2m@KARA2im,1.2590701569345457,0.0,0.0,1.494848033340336,0.0,0.0
ACHLE1,0.0,0.0,0.0,0.0,0.0,0.0
2PHETOHt,0.0,0.0,0.0,0.0,0.0,0.0
ACHLE2,0.0,0.0,0.0,0.0,0.0,0.0
ACHLE3,0.0,0.0,0.0,0.0,0.0,0.0
ACLSm@DHAD1m@KARA1im,0.0,0.0,0.20536359747874755,0.0,0.0,0.20536359747874755
2PHETOHtm@ALCD25xim@PACALDtm,0.0,0.0,0.0,0.0,0.02153490478930091,0.0
ACOAHim,0.0,0.0,0.0,0.0,0.0,0.0
AICART@IMPC,0.0,0.0,0.0,0.0,0.0,0.0
AIRCr@ADSL2r@GLUPRT@GARFT@PRAGSr@PRAIS@PRASCSi@PRFGS,0.0,0.0,0.0,0.0,0.0,0.0
AKGDam@AKGDbm@SUCOASm,5.040781986001079,4.982210796058545,3.856792735812459,5.172511513002172,4.788738227838559,3.812558666355564
AKGMAL,0.0,0.0,0.0,0.0,0.0,0.0
AKGt2r,0.0,0.0,0.0,0.0,0.0,0.0
ALATA_L,0.0,0.0,0.0,0.0,0.0,0.0
ALATA_Lm@ALAtmi,0.23519219383855577,0.22289353694032016,0.02857650304750059,0.2415720041513409,0.22742740780282428,0.0881471490612658
34HPPt2m@TYRTAim@TYRt2m,0.0,0.0,0.0,0.0,0.0,0.0
ALAt2r,0.07318493649596436,0.08736315484750334,0.09154278404343863,0.06868468763648261,0.08302928398499931,0.09035273184478054
ACONT,0.00021071592774100697,0.00021979403622267475,0.00020524521459627906,0.00020544734105683491,0.00019999999999242846,0.00020167809891813475
ACONT3m@MCITL2m@MCITSm@OBDHm,0.0,0.0,0.0,0.0,0.0,0.0
ACONTm,1.4709122482882713,1.1770227998743448,0.0,1.4476690231502216,1.0085629803913272,0.0
ALCD22xi,1.2218773550159072,0.0,0.0,1.476945306271831,0.0,0.0
ALCD22yi,0.0,0.0,0.0,0.0,0.0,0.0
ALCD23xi,0.013072211410087888,0.013823865802295419,0.20536359747874755,0.009276974334107046,0.0,0.20786619632247708
ALCD23yi,0.0,0.0,0.0,0.0,0.0,0.0
ALCD24xi,0.002002462208600873,1.0118582073625682e-05,0.0,0.002486938309057315,0.0,0.0
ALCD24xim@3MBALDtm@IAMOHtm,0.0,0.0,0.0,0.0,0.00171609984294549,0.0
ACPSm@DPCOAK@PAN4Ptm@PAPtm@PTPATi,0.0,0.0,0.0,0.0,0.0,0.0
ACRNtm@CRNtim,0.0,0.0,0.0,0.0,0.0,0.0
ACS,0.3067402689303825,0.30674026895699974,0.30674026895700146,0.306740268930376,0.3067402689569967,0.3067402689303773
ACSm,0.0,0.0,0.0,0.0,0.0,0.0
ACt2r,0.0,0.0,0.0,0.0,0.0,0.0
ALCD24yi,0.0,0.0,0.0,0.0,0.0,0.0
ALCD25xi,0.0,0.021807147385225198,0.0,0.0,0.0,0.0012915614197826118
ALCD25yi,0.0,0.0,0.0,0.0,0.0,0.0
ACtm,0.0,0.0,0.0,0.0,0.0,0.0
3C3HMPt,0.0,0.0,0.0,0.0,0.0,0.0
ACtr,0.0,1.046914173419862,0.0,0.0,0.0,4.1274679618257135
ADA,0.0,0.0,1.9664587360229473,0.0,0.04862130806353093,0.0
ADCL@ADCS@4ABZt,0.0,0.0,0.0,0.0,0.0,0.0
ALCD26xi,0.0,0.0,0.1184192807522235,0.0,0.0,0.11330878389750054
ALCD26xim@IND3ETHtm@ID3ACALDtm,0.0,0.0,0.0,0.0,0.0,0.0
ALCD2x_copy1,0.0,0.0,0.0,0.0,0.0,0.0
ALCD2ir,0.00022099182401928572,0.0,0.0003715289630742759,0.00026881270804409704,0.0,0.00036503824493239206
ALCD2irm@ETOHtm,0.0,0.0002,0.0,0.0,0.0003163480985606866,0.0
3C3HMPtm@IPPSm,0.0,0.0,0.0,0.0,0.0,0.0
ADD,0.0,0.0,0.0,1.966458736022932,0.0,0.0
