"","mip6_20_vs_0_logFC","mip6_20_vs_0_padj","mip6_120_vs_20_logFC","mip6_120_vs_20_padj","WT_20_vs_0_logFC","WT_20_vs_0_padj","WT_120_vs_20_logFC","WT_120_vs_20_padj","0_mip6d_vs_WT_logFC","0_mip6d_vs_WT_padj","20_mip6d_vs_WT_logFC","20_mip6d_vs_WT_padj","120_mip6d_vs_WT_logFC","120_mip6d_vs_WT_padj"
"Q0297",0.223263590543987,0.421443023870142,-1.121416049045,8.13860323203598e-06,-0.179794403270761,0.519058356120944,-0.300287510654755,0.285305340701518,-0.258675726380056,0.806168548011238,0.144382267434692,0.689020170237546,-0.676746270955549,0.156931880617032
"YAL001C",-0.0321141299349875,0.741166896388623,-0.0771450568628813,0.430621360868622,-0.100795871810526,0.244774412785368,0.0177770729314043,0.872622180471791,-0.0155407114117458,0.981747293892126,0.0531410304637932,0.647324498965561,-0.0417810993304924,0.998144679239541
"YAL002W",0.484396135893321,7.19369488941729e-19,0.0387917361616259,0.582490384993416,0.347235522431115,2.14425039351287e-10,0.292385240981435,9.48489894159357e-08,0.0717256097899656,0.750525109940367,0.208886223252171,0.0009456049655515,-0.044707281567638,0.998144679239541
"YAL003W",-0.462699358003448,0.00230033465558873,-0.184417014115042,0.298201572788054,-0.534470049959184,0.000355791656329684,-0.283345422005442,0.0852563568659794,-0.207253258925681,0.709402234829562,-0.135482566969944,0.509054706080309,-0.0365541590795437,0.998144679239541
"YAL005C",3.03952169826146,6.88010124371035e-93,-1.7134895248582,1.91433100172877e-29,2.78070849603754,6.34804009545873e-78,-1.79574929053959,1.73665322467367e-32,-0.24915752102699,0.677680933536821,0.0096556811969291,0.970280035516221,0.0919154468783191,0.998144679239541
"YAL007C",-0.568629066590608,6.35553549257835e-23,0.0825683035001271,0.241949681165668,-0.590092289359286,9.40027447347109e-26,0.0455715798059762,0.536594695820387,-0.118644356462307,0.533559010306307,-0.0971811336936296,0.1986368646394,-0.0601844099994787,0.986394355331772
"YAL008W",0.940186066839154,2.92012117928307e-18,-0.245922106617895,0.0407718828647597,0.839997621729231,4.57119460997918e-15,-0.125401926817227,0.325701078920735,0.0636302165637439,0.926009255959661,0.163818661673666,0.236592552181675,0.0432984818729981,0.998144679239541
"YAL009W",0.188909526402768,0.028995208578653,0.0542090267531149,0.595289426338881,0.0965525476150628,0.268572308262713,0.0982700593462135,0.273000080343422,-0.131534763167594,0.672557866745771,-0.0391777843798888,0.745973364226324,-0.0832388169729874,0.966427713683316
"YAL010C",0.0016630283528813,0.990095826498022,0.0919899348939976,0.490059517483312,0.0464657278108819,0.718503343918157,0.118078090934525,0.342364600882815,0.0660759614133776,0.919618754072084,0.0212732619553769,0.902574046402661,-0.00481489408515048,0.998144679239541
"YAL011W",0.151004051071903,0.184227063885537,0.144721308359498,0.219219768263964,0.275903527438997,0.00713963706236794,-0.0948529743913268,0.423968436245236,-0.0845410544315316,0.865640169197586,-0.209440530798626,0.0893494927351953,0.0301337519521995,0.998144679239541
"YAL012W",-0.0270893604806824,0.861282050575481,-0.696921963779579,4.85474563549965e-08,-0.219131463646396,0.105220126458152,-0.545346539487055,2.4088728782682e-05,0.107726345842957,0.860236923676492,0.299768449008671,0.0477948397423463,0.148193024716147,0.941089372692119
"YAL013W",-0.05702452515422,0.764861039430013,-0.0599621270408871,0.772747294475772,-0.00750716035155404,0.970739145287382,0.0769034603786714,0.702226944219941,0.114733646767969,0.885058282447602,0.0652162819653031,0.782778585888842,-0.0716493054542553,0.998144679239541
"YAL014C",0.225092363381384,0.0430349822598906,-0.132266830999174,0.2850738474593,0.355281498746064,0.000727028182060832,-0.292402519401408,0.00742154489956036,0.0634532875844424,0.919618754072084,-0.066735847780238,0.664746701469221,0.0933998406219959,0.998144679239541
"YAL015C",0.369970880415257,0.000195364982308282,0.151726309481338,0.170126864320765,0.573611480213549,1.14615025729657e-09,0.119485423231755,0.274682264349302,0.0442264063417653,0.95270688878783,-0.159414193456527,0.184734225696409,-0.127173307206944,0.899741615612076
"YAL016C-A",-0.252601117807211,0.0896244050663275,0.0126805691796576,0.950910123880066,0.0249959728794354,0.883842091147829,-0.164401605766828,0.29895353235215,0.0898845410048489,0.906945844196686,-0.187712549681797,0.29020231153629,-0.0106303747353114,0.998144679239541
"YAL016C-B",1.42050171573437,0.0466256211886354,-0.669196257015682,0.364884320750588,-0.370852831696103,0.641335376873855,0.888997928814013,0.222282736870916,-0.529869878468631,0.882045670294351,1.26148466896185,0.109880587514306,-0.296709516867849,NA
"YAL016W",0.248608432070322,0.00419208838538535,-0.390833510944152,6.12625673938961e-06,-0.126865646527041,0.163419534268684,-0.21865045466016,0.0151752549507493,-0.124454112208137,0.708366920418792,0.251019966389227,0.0106450833765077,0.0788369101052353,0.998144679239541
"YAL017W",0.696972063442363,5.66147205994604e-11,-0.247542680240734,0.0379875340949678,0.144024467230295,0.227023412932987,0.239372850290452,0.0423817206661059,0.115777925431256,0.809244184903107,0.668725521643324,1.06764517207658e-08,0.181809991112138,0.73573713391287
"YAL018C",2.03197969717504,0.00333195595153671,1.17592203462118,0.0262448442675852,3.0794772720233,0.000198924779262804,1.19126207636354,0.0164622265717751,1.10079760814836,0.778829932690885,0.0533000333001007,0.953316485880427,0.0379599915577396,NA
"YAL019W",-0.135688003191962,0.121893548320033,0.150619629571,0.0986766601041629,-0.264523719425515,0.0011746700861881,0.251403145064964,0.00279013121142968,-0.143798526321521,0.636773981683316,-0.0149628100879679,0.909749306308703,-0.115746325581932,0.868217366736926
"YAL019W-A",-0.566853688768589,0.185227010391253,0.688725612754404,0.114688221151698,0.526479062666968,0.20399728140425,0.344762009244408,0.440903558727475,0.515704485633713,0.728263178719388,-0.577628265801844,0.239356830635637,-0.233664662291847,NA
"YAL020C",0.0758225161625057,0.559476532370296,0.195775485964653,0.116649893148454,0.320869661405566,0.00430421447461955,0.145000372046525,0.247627035798194,0.178150835189982,0.672557866745771,-0.0668963100530778,0.683898837714938,-0.0161211961349499,0.998144679239541
"YAL021C",0.139023649949452,0.39520449860688,-0.371136754588498,0.0173291559377894,-0.35924445131136,0.0155849789652615,0.181193800457992,0.280320800407073,0.0251777837511106,0.98491878690177,0.523445885011923,0.00140894481461457,-0.0288846700345675,0.998144679239541
"YAL022C",-0.0215028415563205,0.835271588020691,-0.300317222771944,0.000736732646878483,-0.0553351155948764,0.575356168571292,-0.275735217210963,0.00172523037331921,0.0732119313643323,0.857033213343609,0.107044205402888,0.333062207574673,0.0824621998419073,0.998144679239541
"YAL023C",-0.533690667401937,1.64705950109917e-06,0.175325619712325,0.17535056728054,-0.52544402938011,2.25391615808314e-06,0.159313581575581,0.216124042455671,-0.0215259280131231,0.981747293892126,-0.0297725660349495,0.866077814582629,-0.0137605278982057,0.998144679239541
"YAL024C",-0.109533127269384,0.49805362385612,0.441349748079184,0.00278864719383688,-0.30405034673198,0.0360204943770625,0.560392371943061,7.49971622096483e-05,-0.143666509217565,0.813297531039978,0.0508507102450305,0.814010788514723,-0.0681919136188462,0.998144679239541
"YAL025C",-0.485271148698916,0.00428972530659062,0.223167742287709,0.251702891954208,-0.0851574235683444,0.66357121512887,-0.0588434786406208,0.78962016006887,-0.077714818192268,0.944294199976047,-0.477828543322839,0.0132192044382573,-0.19581732239451,0.941089372692119
"YAL026C",-0.171153952801362,0.00256836780048556,-0.287744558763472,3.19478589258263e-07,-0.333722789913341,5.5120398773479e-10,-0.221314454069444,9.03066597279117e-05,-0.0744839803029209,0.722769388425599,0.088084856809058,0.208684530375467,0.0216547521150297,0.998144679239541
"YAL026C-A",-0.319100336420954,0.0188076800847027,-0.224461742645645,0.133687182416821,-0.177315910747245,0.193239243818288,-0.259889749549961,0.0590539384553564,0.0153652774983863,0.993729449214437,-0.126419148175322,0.4741792489257,-0.0909911412710058,0.998144679239541
"YAL027W",-0.165934175686241,0.431585027957423,-0.0270478578443469,0.91817467587683,0.225302292923393,0.25651857404685,-0.380595141633423,0.0519481438377372,0.0603001722983884,0.974217324007262,-0.330936296311245,0.142902817891518,0.0226109874778309,0.998144679239541
"YAL028W",0.626530334519267,0.00040062537440806,-0.0573220017377939,0.802633019962577,0.214775465694094,0.261638959758905,0.377296862245266,0.0397446245358985,0.00382302557901565,0.99808361047149,0.415577894404188,0.0414423743764354,-0.0190409695788723,0.998144679239541
"YAL029C",0.212603628087112,0.000953948796067385,-0.218025445014553,0.00103284770530949,-0.0305045832747098,0.687217714987456,-0.0159516533606848,0.854192248315318,-0.041140502520204,0.907978077799042,0.201967708841618,0.00565856624513725,-0.00010608281225007,0.99952599899137
"YAL030W",0.280965143756581,0.000212696793853181,-0.102281358378311,0.234164844201429,0.566798393570477,1.22661138414574e-15,-0.38878885376922,5.02816084705227e-08,0.108762342902472,0.708366920418792,-0.177070906911424,0.040235971627075,0.109436588479484,0.834627216531145
"YAL031C",0.165483072237492,0.0180730774844367,-0.0684028392161596,0.392576225463009,-0.0252461886881903,0.755351636621512,0.10429135844956,0.154256083904352,0.105910963719177,0.685515461633171,0.296640224644859,5.68630396569774e-05,0.123946026979139,0.578417555007463
"YAL031W-A",0.215697483793259,0.318553689759742,-0.434756164359487,0.0379787016368769,-0.175467254300878,0.421886179999314,0.0894879479840979,0.718467503025637,0.0807689440313861,0.956991723640464,0.471933682125524,0.0368710937961721,-0.0523104302180618,NA
"YAL032C",0.175454154980567,0.143242267921566,-0.0828851265658938,0.547132808623912,0.249418288298347,0.0265963510330941,-0.169771806513491,0.161187048380718,-0.0513714804220177,0.946191971929193,-0.125335613739797,0.385174749454797,-0.0384489337922002,0.998144679239541
"YAL033W",-0.719931989313928,9.2356773144546e-12,0.237088853284152,0.047972526489972,-0.608585594730968,3.61514461519494e-09,0.352830790864269,0.00126308630183807,0.0260379262945117,0.97703011133239,-0.0853084682884488,0.580442493136378,-0.201050405868565,0.586711560607169
"YAL034C",0.442653955022452,0.00228771133828213,0.218191139111882,0.173690997873885,0.291312759473636,0.0501623391786754,0.381549804842046,0.00941427633879079,0.170056608235915,0.777092699353362,0.321397803784731,0.056645781217828,0.158039138054567,0.944639819607135
"YAL034C-B",-0.193900641085818,0.640679855566203,0.340679184328631,0.409899700408845,-0.204606695265551,0.568401963673601,-0.307499706757532,0.40819534167904,-0.614782117095992,0.589708599801811,-0.604076062916259,0.143516063127082,0.0441028281699039,NA
"YAL034W-A",-0.645677216980479,3.90127555039486e-05,0.387127393310782,0.0223384582690364,-0.321975557873919,0.0331861915573898,-0.00853118395158249,0.966273356095411,-0.174570248139258,0.777049382045382,-0.498271907245818,0.00527079833841647,-0.102613329983454,NA
"YAL035W",-0.497118645018286,1.59578858278136e-06,-0.175371044064792,0.142232450218014,-0.714586237246589,1.70807233272663e-12,-0.0144529543135462,0.920290961421782,-0.0843418509099184,0.869199247208637,0.133125741318385,0.329468991422188,-0.0277923484328606,0.998144679239541
"YAL036C",-0.195785306655213,0.247212849414701,0.084204702979853,0.671020513351413,-0.481215175231992,0.00182897081367115,0.395466580564693,0.0148686816121002,-0.0602374656841016,0.960702412869763,0.225192402892678,0.246208001149199,-0.0860694746921621,0.998144679239541
"YAL037C-A",-1.92351087491429,0.0626816325479402,1.71115818105193,0.117741701114969,0.722983643312959,0.466579157005336,-0.290623590977052,0.787935034470568,1.10080450181236,0.743131131996833,-1.54569001641489,0.208141437243178,0.456091755614088,NA
"YAL037C-B",0.116284394760307,0.814991454153891,-0.122096097994256,0.824867998944663,-0.600489346009146,0.172063444473091,0.104172849693182,0.853125755961679,-0.44156492790099,0.80092323065048,0.275208812868463,0.643436275400939,0.0489398651810245,0.998144679239541
"YAL037W",0.172580206035587,0.275062992901819,0.769510592100186,5.46915772881209e-09,0.434177119223894,0.00172832157852137,0.542134548742296,2.13782140501267e-05,0.139962155756649,0.829019867976556,-0.121634757431658,0.514867308657633,0.105741285926231,0.998144679239541
"YAL038W",-0.433029406389455,0.00348410628629605,-0.520476153982166,0.000595978026441415,-0.642715215729217,7.88026179472262e-06,-0.16196386645844,0.345068377705918,0.0327207466351892,0.979557288228751,0.242406555974951,0.18114687659011,-0.116105731548775,0.998144679239541
"YAL039C",0.693500885029239,0.000212882590541798,-0.0179356936216701,0.948431199920211,0.846184110504901,4.27065512990557e-06,-0.0280600866854087,0.913390392644265,0.222306439995195,0.772238084739815,0.0696232145195328,0.806702258082408,0.0797476075832714,0.998144679239541
"YAL040C",0.633708486282895,0.00333728076803607,-0.583483910441585,0.010169834390951,-0.181498149256575,0.453053845849488,0.201711764189369,0.43077848046238,0.0518963496806356,0.97703011133239,0.867102985220106,0.000250264203794358,0.081907310589151,0.998144679239541
"YAL041W",0.0497242434424295,0.551534293284309,-0.113906688081387,0.163927188592037,-0.0774917388392901,0.327172686548052,0.0283504479453061,0.763898929189286,0.0284734329411463,0.960702412869763,0.155689415222866,0.0703078726056392,0.0134322791961731,0.998144679239541
"YAL042C-A",-0.646072378991631,1.64238129594106e-08,0.148896071178408,0.281313098211754,-0.222287577397831,0.0624530397843431,0.0084646434040827,0.957364404101279,0.15602329485477,0.716030652268405,-0.26776150673903,0.0548475507677316,-0.127330078964705,0.956493639386559
"YAL042W",-0.427675124536926,3.00816693469803e-07,-0.0168515053908787,0.886258975182616,-0.39059934112972,2.8390309788826e-06,0.042632429690538,0.699313996205675,0.0301193482821085,0.969709403109738,-0.00695643512509751,0.961592100005899,-0.0664403702065141,0.998144679239541
"YAL043C",0.0911594318550099,0.299842142689951,-0.213111979508761,0.0117112700017644,0.0742424504123909,0.400239132077339,-0.0845414643278738,0.359058681501233,0.0512236665181873,0.906945844196686,0.0681406479608063,0.530218380589861,-0.060429867220081,0.998144679239541
"YAL044C",0.63770203368697,5.47136365018962e-08,-0.961870164714005,1.53977400944599e-16,0.891072893013762,8.51600451844513e-15,-1.36368590691962,7.62299590809638e-33,0.154021373268636,0.738642525737833,-0.0993494860581562,0.549847264552414,0.302466256147456,0.226405339964538
"YAL044W-A",-0.0783503336419707,0.386218947218479,0.0591201627542435,0.549335332704661,-0.00534341429043334,0.956621627533323,-0.0366752480472243,0.715001512233967,0.128130434958821,0.67053970751388,0.0551235156072835,0.627232605034387,0.150918926408751,0.550218208395381
"YAL045C",-0.39043725041256,0.104130895952364,0.275168913688393,0.291222145760142,0.255105022894894,0.270895886045087,-0.11214373523345,0.671022342757535,0.154633006098374,0.892694434950413,-0.49090926720908,0.0603167945938499,-0.103596618287237,NA
"YAL046C",-0.087918000221292,0.520574235423612,0.242706116443995,0.0582104181558977,-0.124310617900987,0.331431373940387,0.151467304911842,0.248475023402052,-0.0102543803469389,0.996333918045923,0.0261382373327556,0.888725548369682,0.117377048864908,0.973826736587985
"YAL047C",0.0683521921023428,0.523756910732254,0.231614132820563,0.0161605769822115,0.0769818408606524,0.441134693338895,0.0750168217790583,0.473372537702104,-0.155537225865809,0.649056480767564,-0.164166874624119,0.136473639259019,-0.00756956358261441,0.998144679239541
"YAL047W-A",0.881388830726176,0.248226929732657,0.216862231543203,0.793887375840706,0.315493793972399,0.686588226834699,0.934515760559445,0.163420304659513,-0.308781857398004,0.954001200469806,0.257113179355773,0.790386876874452,-0.460540349660469,NA
"YAL048C",0.373617375146479,4.58906018090484e-06,-0.12146398674475,0.19179473806016,0.294591419740221,0.000285184060255086,-0.103268767471729,0.263061860449214,0.0392773866968969,0.942951611661658,0.118303342103154,0.247696751634677,0.100108122830133,0.9298933753134
