"rep1_mip_me_0"	"rep1_mip_me_15"	"rep1_mip_me_20"	"rep1_mip_sin_0"	"rep1_mip_sin_15"	"rep1_mip_sin_20"	"rep1_wt_me_0"	"rep1_wt_me_15"	"rep1_wt_me_20"	"rep1_wt_sin_0"	"rep1_wt_sin_15"	"rep1_wt_sin_20"	"rep2_mip_me_0"	"rep2_mip_me_15"	"rep2_mip_me_20"	"rep2_mip_sin_0"	"rep2_mip_sin_15"	"rep2_mip_sin_20"	"rep2_wt_me_0"	"rep2_wt_me_15"	"rep2_wt_me_20"	"rep2_wt_sin_0"	"rep2_wt_sin_15"	"rep2_wt_sin_20"	"rep3_mip_me_0"	"rep3_mip_me_15"	"rep3_mip_me_20"	"rep3_mip_sin_0"	"rep3_mip_sin_15"	"rep3_mip_sin_20"	"rep3_wt_me_0"	"rep3_wt_me_15"	"rep3_wt_me_20"	"rep3_wt_sin_0"	"rep3_wt_sin_15"	"rep3_wt_sin_20"
"YCL073C"	8.19031560952366	3.5669999376203	8.3351262147132	6.53998210708745	5.83377887484337	8.58217435824428	6.09147804520679	6.50851706354238	7.3775039541017	6.20615372059557	8.65276496125675	13.4470676138859	6.26748377397407	10.9130622190364	8.9942144396706	5.3784519979611	11.9998988881048	5.66034277226883	7.48475648161411	13.5782119370684	5.25635247655643	3.60990631142483	9.14952786061534	4.52436210321891	4.99575578575396	7.60078568012907	7.49062635725754	5.96807460381216	13.809839651914	7.14580122984358	2.98632012182797	5.68931404316776	10.0985741317932	6.98508413628803	15.5600561357218	5.93111732132015
"YCL069W"	3.96906331333423	11.0277124056115	10.1409132229958	5.10097190007428	8.66875717633805	9.50575525180223	4.79909022870532	8.4918277683464	9.93266501782447	3.15774534398708	13.9590710758807	15.8941684430436	2.85298504256325	16.3704622022656	18.787363259151	2.01916000284294	7.0654751100821	14.2972099190472	3.10455513460425	9.05329377441561	12.850024608151	5.43425791572142	19.1725411541982	12.437905106264	4.22408326815904	9.12829255942864	12.2448669484306	5.28160046950238	9.01391329961603	6.51269829757694	5.31609498697911	12.0593124309099	9.7166695022062	3.40456770786942	11.8185843965078	13.7768056437716
"YCL068C"	101.000926909527	96.662091782003	86.5745087932648	77.821539638991	113.544220204576	109.485990944578	87.4861630194085	82.3828006133874	106.993054772508	76.513234041418	96.1315650085307	93.4365412873663	75.440378064832	100.858874933361	88.3770865965761	97.2448646913484	103.077015588005	101.84177565378	93.5860523598278	102.741039608844	80.7912789183784	85.3841890868498	108.04586078037	88.0661434241684	86.7980727162931	78.0421583283028	83.3276893429475	75.5838437794913	106.272849218331	104.371976596923	82.7421034442793	82.1731021722337	92.9190793711218	95.6509566231137	122.451804028911	123.830944173409
"YCL067C"	482.440760527456	551.408276915369	510.735878143661	464.934255350885	594.97389880097	493.547105969285	445.794651570048	510.132034018288	409.830115332044	404.94826610365	471.138965442523	406.381819109333	413.672954847743	663.528896460369	576.010451957034	336.858838069229	632.714036990865	627.10109267488	374.370451570357	466.873051672378	470.017947488268	389.22466244541	465.456888876977	426.363129695223	497.123466401668	574.230732919635	546.029033609933	351.54171385438	512.872250596418	410.049861333675	437.327556006568	550.237117813557	482.870144253029	380.38609056602	571.664559105032	460.422699245638
"YCL066W"	6.90199659727802	5.92548794647042	5.32183382497657	7.07875877888918	6.06710528840769	8.47347310238023	6.60438741468655	6.73615540604477	6.2879321254464	10.7763805133334	9.8289023075186	7.58197396114638	6.86435981074263	8.98014632112606	6.52828419570346	9.58920967930298	5.92376356123343	6.59108745022791	7.27727779713653	6.55904501074785	6.86037728875141	6.4266478448118	9.78768378445578	5.68185340666145	6.64451306685067	8.08246500176181	5.61865173489488	9.41674599120079	11.0146609974247	5.80340643159688	6.6552169471311	6.27772500079752	5.73397267590977	10.1517758569936	7.2362882678189	5.63319112631404
"YCL064C"	6642.92437384939	31922.1600032066	23707.1693335829	15880.4821372898	39069.4933497955	37027.8098721212	8008.11725165198	34165.6114215949	26324.2314165771	15639.7142313966	42603.9182312836	41544.5448352737	11128.9031775954	36600.2387544769	30523.2416634646	12775.7337479371	30444.0848435306	32549.0040285745	10924.6456752766	32748.2809138015	27281.330063357	12597.1850996947	34283.072427969	34705.3425186347	10709.4770470204	31083.2058892718	23457.193647727	12732.7699962756	37768.7496602314	35500.7401922496	11500.3570963033	33804.4675132752	28023.189942816	9892.96477369923	41700.7794951344	38430.4114718499
"YCL063W"	1751.87900390892	1226.05773155899	1232.08280381579	1599.57886857426	1277.14229758114	1155.34896967128	1700.60561726953	1437.80992512552	1309.71743030619	1608.27252515244	1346.96182678252	1179.38677336707	2071.18118044762	1475.06790854939	1331.36891425837	1848.29771710901	1185.238901777	1194.15589057304	1821.85283439554	1134.49371212664	1100.23224568877	1786.75802968437	1118.85733791125	1056.62574927603	2026.72262102673	1159.24021158397	1169.32478480704	1675.39528474073	1082.8381490628	1057.37636511989	2249.00166110054	1180.95658578543	1181.69880957234	1967.45528767722	1268.28157181713	1238.4668939203
"YCL061C"	1685.77014147839	1535.8468058438	1542.76673439017	1954.90187294302	1633.44900273058	1470.71807000027	1841.06717740075	1560.04723111014	1458.99155542283	1586.47511308084	1402.52029018738	1521.82333697133	1825.18387179715	1424.11294989562	1440.26051162548	1908.20620022061	1786.59981804713	1518.38561069719	1683.23686249453	1410.84537120941	1489.4973634542	1804.39205472949	1400.11947439784	1537.06476498397	1691.28325675806	1333.08112221346	1713.28924599337	1942.98351239479	1553.78975179983	1519.41129696885	1685.47779271656	1568.04321776522	1462.11631473417	1782.62681430565	1477.49554856466	1475.99811637266
"YCL059C"	4877.85876633933	948.389769225808	1501.47293244305	4302.50405561639	309.905668748661	519.66641810505	4395.75791100573	1381.00580179289	1698.14860118959	3665.97717812698	453.530950885905	837.955602797863	4734.77415694541	1128.47953075464	1348.14910906556	3185.78085259161	650.638466755885	731.702830828897	4625.47126744449	1051.56019882331	1348.87399828642	3354.04324083316	506.712292212735	566.574954573994	4428.62357444743	1307.09122208982	1453.94400757792	2698.68746012478	753.560260773763	683.311882546083	4401.72676071622	1094.69918047828	1451.85302969471	2039.66307937005	574.664605493615	719.176099891396
"YCL058C"	266.383339468831	295.952321805029	308.809809452624	227.309072780694	226.784787064625	273.695992179528	200.207235491813	301.926199936076	452.600660313126	310.161526189966	311.486534324256	356.949906905252	255.180121258585	345.251149283312	366.92417387141	250.080265827948	230.673623166138	290.516446319863	283.781366267987	341.861131390178	310.014596217313	279.779420523301	250.617365799755	283.517638114119	318.517142924061	287.576067057055	243.54266424679	269.337022865305	314.839568377804	260.531601871006	306.223383749398	328.947059549809	285.132829219886	262.928453407266	298.606966342732	291.387279034161
