Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR9929269_1	(1.0, 8.992824279379246)	(2.0, 4.811801132100521)	(3.0, 3.5792745041155385)	(4.0, 2.9800298251965627)	(5.0, 2.3810448444159156)	(6.0, 2.1891540792634814)	(7.0, 1.8853635497392809)	(8.0, 1.6799176084315703)	(9.0, 1.515425784272071)	('>10', 21.730152525272743)	('>50', 7.714980031841387)	('>100', 15.931177453570381)	('>500', 5.9799231312284995)	('>1k', 9.19790468462949)	('>5k', 2.3870084927244015)	('>10k+', 7.044018073818998)
SRR9929269_2	(1.0, 11.504142551632434)	(2.0, 6.374472584554917)	(3.0, 4.835977900738793)	(4.0, 3.840036353016618)	(5.0, 3.19609932708801)	(6.0, 2.613517865831777)	(7.0, 2.245087853717984)	(8.0, 1.925003356644427)	(9.0, 1.6536199903913598)	('>10', 20.968057792916152)	('>50', 7.514683180713148)	('>100', 15.091431531965627)	('>500', 4.879334148226043)	('>1k', 7.511104280598338)	('>5k', 2.2917840222973833)	('>10k+', 3.5556472596671376)
SRR9929270_1	(1.0, 7.611737107741802)	(2.0, 4.79326963692978)	(3.0, 3.4691071960657864)	(4.0, 2.673644721838468)	(5.0, 2.091678303901496)	(6.0, 1.7843259740798785)	(7.0, 1.5469625336426116)	(8.0, 1.3900153285268895)	(9.0, 1.2059955181195856)	('>10', 16.54938701610651)	('>50', 6.350340373737845)	('>100', 14.673397196181687)	('>500', 6.023348946147997)	('>1k', 12.094009269364967)	('>5k', 4.0253318185421705)	('>10k+', 13.71744905907246)
SRR9929270_2	(1.0, 20.612816882697047)	(2.0, 5.428994373775302)	(3.0, 3.8196605192269093)	(4.0, 2.785389585853828)	(5.0, 2.066480551276422)	(6.0, 1.7312902513565593)	(7.0, 1.4211135064585074)	(8.0, 1.2384247792512826)	(9.0, 1.0389257473138136)	('>10', 14.177942725628128)	('>50', 5.412901394136758)	('>100', 12.765137710935399)	('>500', 5.173712745336621)	('>1k', 9.266932832804429)	('>5k', 3.1918310125926483)	('>10k+', 9.868445381356349)
SRR9929271_1	(1.0, 7.192715218149733)	(2.0, 4.327138573126153)	(3.0, 3.2279267911694247)	(4.0, 2.6203889606460624)	(5.0, 2.1785571680589655)	(6.0, 1.9821169902611064)	(7.0, 1.6980010010975326)	(8.0, 1.584023242357867)	(9.0, 1.4377014354444986)	('>10', 22.155502501740106)	('>50', 8.310743580311945)	('>100', 16.047166821175406)	('>500', 6.109280662865109)	('>1k', 11.683363186877886)	('>5k', 3.1214810993662567)	('>10k+', 6.32389276735202)
SRR9929271_2	(1.0, 10.424980223827236)	(2.0, 5.971281265158398)	(3.0, 4.835972153111629)	(4.0, 3.9206981052814234)	(5.0, 3.2194544513363703)	(6.0, 2.73453037118949)	(7.0, 2.330341459679798)	(8.0, 2.0181569431441426)	(9.0, 1.731279784199111)	('>10', 21.796245263378882)	('>50', 6.846665199929602)	('>100', 14.54532368873574)	('>500', 5.682586437768052)	('>1k', 7.935368413739904)	('>5k', 2.361375884404115)	('>10k+', 3.6457403551159966)
SRR9929272_1	(1.0, 6.995800898915896)	(2.0, 4.484625059646223)	(3.0, 3.2532360755104426)	(4.0, 2.623812191764113)	(5.0, 2.182546842810709)	(6.0, 1.8999377631712093)	(7.0, 1.7034343403056522)	(8.0, 1.5494640158535833)	(9.0, 1.4328104022177148)	('>10', 22.97267856838929)	('>50', 8.365549718872588)	('>100', 16.946408287132584)	('>500', 6.5895993536478015)	('>1k', 11.075977304278847)	('>5k', 3.1033981841570677)	('>10k+', 4.8207209933262485)
SRR9929272_2	(1.0, 10.507363235306043)	(2.0, 5.962101695247679)	(3.0, 4.878074728406716)	(4.0, 3.9387222451204296)	(5.0, 3.293345462489181)	(6.0, 2.7944983393391216)	(7.0, 2.403182795228716)	(8.0, 2.034471354550497)	(9.0, 1.7830291076691793)	('>10', 22.10992342820863)	('>50', 7.504092754268174)	('>100', 15.766987553753095)	('>500', 4.978199076215006)	('>1k', 7.280560112976079)	('>5k', 1.8927740704760827)	('>10k+', 2.8726740407453666)
SRR9929273_1	(1.0, 7.507483407640893)	(2.0, 3.9626270290072485)	(3.0, 2.9049773260571685)	(4.0, 2.3744773255704095)	(5.0, 2.0023730162075664)	(6.0, 1.7096905334858092)	(7.0, 1.4997302101883012)	(8.0, 1.4098689136633418)	(9.0, 1.2517961696872786)	('>10', 20.123400494075394)	('>50', 8.121470684256021)	('>100', 18.57035783510365)	('>500', 7.772865365200634)	('>1k', 12.483826053132093)	('>5k', 3.3660160596688673)	('>10k+', 4.9390395770553015)
SRR9929273_2	(1.0, 10.59972101757083)	(2.0, 5.420022745380312)	(3.0, 4.152538615124624)	(4.0, 3.325174530993871)	(5.0, 2.6400417158101517)	(6.0, 2.2779694810121898)	(7.0, 1.9340690463194539)	(8.0, 1.6644737975864152)	(9.0, 1.5056996135231344)	('>10', 20.489638273296393)	('>50', 8.122661441924295)	('>100', 19.31495937286317)	('>500', 6.088418232891902)	('>1k', 7.934081372618065)	('>5k', 1.9479229470654038)	('>10k+', 2.5826077960199645)
SRR9929274_1	(1.0, 7.726469001392735)	(2.0, 4.590131478777355)	(3.0, 3.4120016468492156)	(4.0, 2.7422021950337245)	(5.0, 2.2943797533367745)	(6.0, 2.0199839876668215)	(7.0, 1.788622479408352)	(8.0, 1.5672709718263316)	(9.0, 1.356693039039419)	('>10', 21.21504418493503)	('>50', 7.740907708789976)	('>100', 16.287010561947348)	('>500', 6.455638550275642)	('>1k', 12.361110273340051)	('>5k', 3.1932432067011995)	('>10k+', 5.249290960679947)
SRR9929274_2	(1.0, 11.354114883378951)	(2.0, 5.970186616810431)	(3.0, 4.652163478938922)	(4.0, 3.708526606024534)	(5.0, 3.1144982021940404)	(6.0, 2.6036327227039884)	(7.0, 2.122465055722155)	(8.0, 1.8121365294655405)	(9.0, 1.6648935162656313)	('>10', 20.280553406508805)	('>50', 7.087618917051675)	('>100', 15.964009735427496)	('>500', 6.050964907598881)	('>1k', 8.731738992329388)	('>5k', 1.943386618909233)	('>10k+', 2.9391098106704177)
SRR9929275_1	(1.0, 8.099409493064059)	(2.0, 4.75843339808133)	(3.0, 3.375581045696797)	(4.0, 2.7261997161424762)	(5.0, 2.428771406445254)	(6.0, 2.0397185666546425)	(7.0, 1.8058730355122783)	(8.0, 1.5879466830637372)	(9.0, 1.517595237806987)	('>10', 22.873656857776066)	('>50', 8.398752830357177)	('>100', 17.34100164494581)	('>500', 6.383674787307718)	('>1k', 9.610835734466544)	('>5k', 2.5612643623195646)	('>10k+', 4.491285200359619)
SRR9929275_2	(1.0, 10.915535462390235)	(2.0, 6.259475663158643)	(3.0, 4.937645546954448)	(4.0, 4.025131203901466)	(5.0, 3.3090897891546684)	(6.0, 2.7710827508062157)	(7.0, 2.306001427907454)	(8.0, 1.9835455321600852)	(9.0, 1.801503785318665)	('>10', 22.08463335296285)	('>50', 7.79770642544777)	('>100', 16.110518059850467)	('>500', 4.8124413182832635)	('>1k', 6.591980121211797)	('>5k', 1.917552201748095)	('>10k+', 2.3761573587439404)
SRR9929276_1	(1.0, 6.972834939650651)	(2.0, 3.7082930584528606)	(3.0, 2.7271121048609195)	(4.0, 2.180165136681972)	(5.0, 1.8269210544555068)	(6.0, 1.633627222744104)	(7.0, 1.4155368181697225)	(8.0, 1.2621952253761521)	(9.0, 1.1583897471249391)	('>10', 19.222505020728033)	('>50', 7.839481950143255)	('>100', 17.66866691675684)	('>500', 7.384081999631658)	('>1k', 12.503194836834853)	('>5k', 3.3634395288297445)	('>10k+', 9.133554439558852)
