Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR9929268_1	(1, 0.01452171013846763)	(2, 0.0005454318627013793)	(3, 0.003328787186304781)	(4, 0.0)	(5, 0.0014511793195509425)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005875788702737585)	(14, 0.0)	(16, 8.26411913183908e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0003256062937944597)	(28, 1.6528238263678157e-06)	(30, 8.264119131839079e-06)	(32, 0.0)	(34, 0.0005057640908685516)	(36, 0.0)	(38, 3.3056476527356314e-06)	(40, 2.313953356914942e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.00979959246653478)	(54, 0.0059947920182360686)	(56, 0.00039998336598101147)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 4.958471479103447e-05)	(68, 0.0)	(70, 1.6528238263678157e-06)	(72, 0.0)	(74, 0.0)	(76, 0.00021321427360144826)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.00033552323675266663)	(90, 9.916942958206894e-06)	(92, 0.0)	(94, 0.0)	(96, 1.156976678457471e-05)	(98, 4.958471479103447e-06)	(100, 0.0)
SRR9929268_2	(1, 0.01944712514104372)	(2, 6.611295305471263e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0011834218596793562)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 3.3056476527356314e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0021470181504517926)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.644518122188505e-05)	(50, 0.00035039865118997697)	(52, 0.0007305481312545746)	(54, 2.644518122188505e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 1.6528238263678157e-06)	(70, 6.611295305471263e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 7.768271983928735e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929269_1	(1, 0.01455183155219079)	(2, 0.0005170701566768303)	(3, 0.0033767846966650137)	(4, 0.0)	(5, 0.0015336230497353602)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005868922152484974)	(14, 0.0)	(16, 8.617835944613837e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0003623008580796837)	(28, 0.0)	(30, 1.7587420295130278e-06)	(32, 0.0)	(34, 0.0004731016059390045)	(36, 0.0)	(38, 1.7587420295130278e-06)	(40, 1.5828678265617253e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0097064972608824)	(54, 0.005872439636544001)	(56, 0.00038692324649286617)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.452100291490387e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0002145665276005894)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.00039571695664043126)	(90, 1.7587420295130278e-06)	(92, 0.0)	(94, 0.0)	(96, 5.276226088539084e-06)	(98, 5.276226088539084e-06)	(100, 0.0)
SRR9929269_2	(1, 0.019050693663685118)	(2, 3.5174840590260557e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0011994620641278852)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 3.5174840590260557e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.002156217728182972)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 1.758742029513028e-05)	(50, 0.00038340576243384004)	(52, 0.0007879164292218365)	(54, 3.6933582619773586e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 8.79371014756514e-06)	(70, 7.034968118052111e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 9.49720695937035e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929270_1	(1, 0.015287879979164164)	(2, 0.030077684081347582)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00037609811118954396)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00036847450082759373)	(12, 0.0009300804641579263)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929270_2	(1, 0.0019059025904875537)	(2, 2.032962763186724e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 1.2706017269917027e-05)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 5.08240690796681e-06)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 1.7788424177883837e-05)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929271_1	(1, 0.014102555424068457)	(2, 0.0004991449919791502)	(3, 0.0033504252886271727)	(4, 3.4188013149256864e-06)	(5, 0.0015658110022359643)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.00588546646364457)	(14, 0.0)	(16, 7.692302958582795e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0003367519295201801)	(28, 0.0)	(30, 5.12820197238853e-06)	(32, 0.0)	(34, 0.00045299117422765344)	(36, 0.0)	(38, 1.7094006574628432e-06)	(40, 1.709400657462843e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.009740164946223281)	(54, 0.0059213638774512885)	(56, 0.0003829057472716769)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.811962235373667e-05)	(68, 0.0)	(70, 1.7094006574628432e-06)	(72, 0.0)	(74, 0.0)	(76, 0.00020854688021046687)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.00036239293938212277)	(90, 5.12820197238853e-06)	(92, 0.0)	(94, 0.0)	(96, 6.837602629851373e-06)	(98, 3.4188013149256864e-06)	(100, 0.0)
SRR9929271_2	(1, 0.019360671846424163)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0010974352220911455)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 3.4188013149256864e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.002138460222486017)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.3931609204479806e-05)	(50, 0.0003675211413545113)	(52, 0.0008017089083500735)	(54, 3.247861249179402e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 1.7094006574628432e-06)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 7.863243024329078e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR9929272_1	(1, 0.014290996030171641)	(2, 0.0005092040970228833)	(3, 0.0033414438785031035)	(4, 3.328131353090741e-06)	(5, 0.0015475810791871945)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.005849190853056976)	(14, 0.0)	(16, 7.321888976799629e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00031617247854362035)	(28, 0.0)	(30, 4.992197029636111e-06)	(32, 0.0)	(34, 0.00047093058646233984)	(36, 0.0)	(38, 0.0)	(40, 1.9968788118544444e-05)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.009849604739472047)	(54, 0.006005613026652242)	(56, 0.00033447720098561944)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.3250101649451856e-05)	(68, 0.0)	(70, 1.6640656765453705e-06)	(72, 0.0)	(74, 0.0)	(76, 0.00019303161847926295)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0003594381861338)	(90, 1.6640656765453705e-06)	(92, 0.0)	(94, 0.0)	(96, 8.320328382726852e-06)	(98, 3.328131353090741e-06)	(100, 0.0)
SRR9929272_2	(1, 0.019629318720529188)	(2, 6.656262706181482e-06)	(3, 0.0)	(4, 0.0)	(5, 0.0012547055201152092)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 8.320328382726852e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.002218199546834979)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.9953182177816665e-05)	(50, 0.00037441477722270834)	(52, 0.0007871030650059601)	(54, 3.161724785436204e-05)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 4.992197029636111e-06)	(70, 3.328131353090741e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 8.153921815072315e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
