"";"SRR9929263";"SRR9929264";"SRR9929273";"SRR9929282";"SRR9929267";"SRR9929276";"SRR9929278";"SRR9929285";"SRR9929268";"SRR9929269";"SRR9929275";"SRR9929286";"SRR9929270";"SRR9929277";"SRR9929283";"SRR9929284";"SRR9929266";"SRR9929272";"SRR9929279";"SRR9929281";"SRR9929265";"SRR9929271";"SRR9929274";"SRR9929280"
"YPL196W";553,979114897397;532,992169492451;563,399234044915;460,295795608874;642,705275653088;466,294450817946;543,408923195492;535,373466279798;464,01904291814;637,779931821398;618,340741457957;466,423328747467;479,926285975777;742,692184872754;632,685930622403;495,174025224944;459,228564464426;437,889733877448;645,81961713386;617,835860481194;720,145049118374;694,52333662429;546,035597650869;546,891236606558
"YPL197C";2811,36203219462;3816,83630603766;3122,2666812776;3362,95274234692;3098,45092805869;3877,32911991217;3486,21300111536;3671,50327005727;1727,1905378902;1573,91167018714;1832,00456406938;1863,75552238177;1975,15062593603;2463,11609911356;2562,09096750618;2330,35241295479;1553,39010544434;1789,2588247906;1585,24412376287;1631,34561230816;1771,84636761465;1791,24997215818;1907,89822006587;2013,16151904344
"YPL198W";4297,73962620767;5150,96210482971;4130,64368380537;4448,59116271406;4557,23171882839;4321,77159096915;4636,29778892653;3865,86488355502;3068,96267551404;2729,81288522012;2707,64957146565;2556,86154932397;3310,40873752351;3351,66478343193;3507,01748360661;2991,9614600686;2847,75868040263;2687,12838768003;2360,61500977994;2329,90356535176;2834,37808593164;2625,76713520183;3280,43262203307;3070,42074677043
"YPL199C";1411,65825289778;1562,64253797738;1371,02747183993;1288,36030679141;1381,15797541656;1452,25839468624;1533,02091853077;1202,08236957854;1129,82686423184;986,917023034176;1088,42111796459;1027,95863255932;990,912871318023;1048,32998266039;816,862307407307;1016,84717702166;1197,17365726598;1311,11174152332;1272,0929536856;1053,52032802762;820,341886480783;818,946665305449;1089,36745887894;880,707131549552
"YPL200W";42,802103732065;22,6919528939923;30,3879560091844;22,3209287191649;24,5155609207034;49,5621143096396;25,6002982551155;29,4642438036852;24,7092494767217;19,6108296054536;15,3623025009359;39,3317937019435;20,0110074565114;36,6109742334013;50,7801906653224;14,3822732202753;25,0329628395477;32,1672030604272;16,9768695503763;24,926468790702;34,1399175534211;47,2897549707052;18,9977211930893;31,6158900011083
"YPL201C";116,225404106828;125,737406355802;122,748055193883;169,348547957227;109,802247520311;160,453318622561;155,492458562982;132,455626561664;154,99749517372;144,880746502446;141,826903132589;140,683301164746;68,4386798346893;169,084000195577;158,777908752112;113,902936308438;179,887247230726;178,346141632586;115,982720274262;148,263260606185;239,547114136679;214,807006371263;165,894422004254;195,250646730375
"YPL202C";795,571795845118;515,4167434497;724,785635187379;766,958259404977;759,430660697815;852,048697281638;737,018062004386;695,76428015117;1107,1926516111;943,861860073846;925,048440300261;1197,37606501969;1481,17550711127;988,816165846263;1183,20307921972;1287,45382792606;1063,61773216516;946,654199057236;858,498071995813;967,813246178408;891,081315534542;1003,58132804809;1068,50176312667;914,952705811921
"YPL203W";1092,20889834321;970,87158853663;1208,72816182799;975,322551486756;1311,326660396;1014,04445275081;1079,05462679439;1303,29269015652;1501,1897891491;1800,93669189792;1751,9491828951;1554,55207383176;1575,11724176231;1468,42528165407;1311,6634864795;1401,84392884857;1479,4037269405;1386,25439058992;1550,37195036667;1705,53993000774;1182,75909370227;1081,31725201906;1286,31824511236;1078,77445332598
"YPL204W";2935,22154361745;2515,18044990634;2998,59036945623;2722,24982918234;2758,08568508001;3215,07094113304;2963,55717924207;2804,22089117723;2912,87802218712;2755,61479975273;2881,1702939718;3095,78250470147;3305,54791875858;3322,30968708475;3372,57292580092;3001,12278912808;2894,65849005131;2952,2247304578;2792,05593767795;2852,30691755188;3382,44738533985;3693,79163279291;3208,76981724348;3143,4370991305
"YPL205C";185,341852699128;129,931679189118;154,764351101847;149,664951978082;152,274126152449;150,226909038054;122,477735895374;117,788025184677;162,113225435703;164,371351501336;136,934391938196;176,110592998738;115,979941593813;140,080530222868;196,930901718696;180,970104236203;175,953967624791;119,447467549721;169,228831063821;164,852183859032;204,902784453579;194,470356745797;138,560905881156;140,546707327766
"YPL206C";1260,08836442681;1029,04449916999;1104,64446411419;1179,94281978818;1242,73242264627;1169,01505558141;1098,94065881829;1307,46294960504;1219,95294178559;1401,64875923495;1262,31635764147;1352,90341259042;1705,18763115768;1247,9716191955;1306,68956066707;1348,35725634247;1233,97074485274;1074,88160240618;1250,48196132369;1286,20131699937;1256,46954002076;1274,94032823643;1310,73562839925;1287,98025613034
"YPL207W";6157,51645144488;5634,68960160636;5787,05381611324;6230,26531146466;5614,39769319072;5864,95222922085;5293,72492488409;5691,75576272622;4592,15545191744;4069,25846807526;3989,99422556433;4398,59995492402;2996,4563800869;2854,4232508851;3621,52842422761;3434,13895788232;4396,25702143792;4655,68486856833;3883,81417991964;3975,90473703827;3449,73784494687;3648,94699457685;3310,8369043935;4203,6171319921
"YPL208W";1578,72600053577;1667,11683863517;1508,09479014007;1526,96042828685;1540,2583523187;1408,38088378159;1479,8232298861;1329,77319424954;1262,34581046152;1210,28462104662;1188,48698447635;1091,74530421648;1156,74584855901;1039,18265212899;1033,84892482886;1189,77294550678;1228,97614936251;1248,52082603825;1244,49097412158;1147,12751348327;1055,34110051453;992,78016575853;1252,31581981808;1287,2289453594
"YPL209C";194,135305781188;233,292374250779;169,501232637674;183,838266223743;192,34721650984;209,299501180498;231,762967146023;161,911671384886;253,903136252387;197,18921843492;195,433955216922;207,729820045116;156,983304110556;160,193245116567;134,2994357426;147,660442051243;227,418810126615;255,605758927175;189,311052823193;215,848472625195;198,774332267626;182,028441995933;219,053883711825;221,733260838319
